"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207454,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207647,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207835,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208028,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208216,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208409,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208597,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208790,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208978,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209171,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209359,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209552,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209740,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209933,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210121,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210314,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210502,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210695,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210883,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211076,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211264,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211457,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211645,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211838,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212026,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212219,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212406,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212599,"CAIT","AND","Andorra","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212785,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212978,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213166,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213359,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213547,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213740,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213928,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214121,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214309,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214502,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214690,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_energy","Energy","Energy: General"
23214883,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_energy","Energy","Energy: General"
23215071,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215264,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215452,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215645,"CAIT","AND","Andorra","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215833,"CAIT","AND","Andorra","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Adh&eacute;sion &agrave; la convention cadre des Nations unies sur les changements climatiques, en tant que Partie non vis&eacute;e par l'annexe I (non-Annexe I), le 2 mars 2011.<br />Approbation par le Gouvernement d&rsquo;Andorre de la r&eacute;vision du plan national des d&eacute;chets (2012- 2016), le 20 d&eacute;cembre 2011.<br />Pr&eacute;sentation par le Gouvernement d&rsquo;Andorre du Livre blanc de l&rsquo;&eacute;nergie, le 19 juillet 2012.<br />Cr&eacute;ation de la structure et des groupes de travail pour r&eacute;pondre aux obligations d&eacute;coulant de la CCNUCC, sous la coordination du Minist&egrave;re de l'Environnement, le 2 octobre 2013.<br />Approbation par le Gouvernement d&rsquo;Andorre du Premier rapport bisannuel de l&rsquo;Andorre &agrave; la Convention cadre des Nations unies sur les changements climatiques (2014), le 17 d&eacute;cembre 2014.<br />Approbation par le Gouvernement d&rsquo;Andorre des contributions pr&eacute;vues d&eacute;termin&eacute;es au niveau national (CPDN) de l&rsquo;Andorre, conform&eacute;ment aux d&eacute;cisions 1/CP.19 et 1/CP.20 de la Conf&eacute;rence des Parties de la convention cadre des Nations unies sur les changements climatiques, le 22 avril 2015.""</p> <p>Accession to the United Nations Framework Convention on Climate Change, as Party not included in Annex I (non-Annex I) on March 2<sup>nd</sup> 2011.<br />Approval by the Government of Andorra for the revision of the national waste plan (2012-2016), on December 20<sup>th</sup> 2011.<br />Presentation of the White Paper on Energy by the Government of Andorra, on July 19<sup>th</sup> 2012.<br />Creation of the structure and the working groups to meet obligations under the UNFCCC, under the coordination of the Ministry of Environment, October 2<sup>nd</sup>, 2013.<br />Approval by the Government of Andorra of the First Biennial Report of Andorra to the United Nations Framework Convention on Climate Change (2014), December 17<sup>th</sup>, 2014.<br />Approval by the Government of Andorra for the intended nationally determined contributions (INDC) of Andorra, in accordance with Decisions 1/CP.19 and 1/CP.20 of the Conference of the Parties to the United Nations Framework Convention on Climate Change on April 22<sup>nd</sup> 2015.</p>"
