"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207459,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207652,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207840,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208033,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208221,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208414,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208602,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208795,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208983,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209176,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209364,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209557,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209745,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209938,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210126,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210319,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210507,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210700,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210888,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211081,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211269,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211462,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211650,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211843,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212031,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212223,"CAIT","AUS","Australia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
