"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207462,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207655,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207843,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208036,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208224,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208417,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208605,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208798,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208986,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209179,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209367,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209560,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209748,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209941,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210129,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210322,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210510,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy: Hydro"
23210703,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy: Hydro"
23210891,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211084,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211272,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211465,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211653,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23211846,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212034,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212226,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212414,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management"
23212605,"CAIT","BDI","Burundi","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management"
23212793,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Climate Smart Agriculture"
23212986,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Climate Smart Agriculture"
23213174,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213367,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213555,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_transport","Transport","Urban Transport"
23213748,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_transport","Transport","Urban Transport"
23213936,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","REDD+, Reforestation, Reforestation, Sustainable Forest Management"
23214129,"CAIT","BDI","Burundi","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","REDD+, Reforestation, Reforestation, Sustainable Forest Management"
