"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207464,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Quality, Water Supply, Agriculture: General, Agriculture: General"
23207657,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Quality, Water Supply, Agriculture: General, Agriculture: General"
23207845,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208038,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208226,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208419,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208607,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208800,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208988,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction, Water Management"
23209181,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction, Water Management"
23209369,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Forest Management, Sustainable Land Management"
23209562,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Forest Management, Sustainable Land Management"
23209750,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209943,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210131,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210324,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210512,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210705,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210893,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211086,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211274,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211467,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211655,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23211848,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212036,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212228,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212416,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management, Coastal Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212607,"CAIT","BEN","Benin","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management, Coastal Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212795,"CAIT","BEN","Benin","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Agroforestry"
23212988,"CAIT","BEN","Benin","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Agroforestry"
