"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207468,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management"
23207661,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management"
23207849,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208042,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208230,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads, Sustainable Transport Planning"
23208423,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads, Sustainable Transport Planning"
23208611,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208804,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208992,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209185,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209373,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209566,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209754,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209947,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210135,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210328,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210516,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210709,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210897,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211090,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211278,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211471,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211659,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211852,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212040,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Mangroves, Sea-level Rise Protection"
23212232,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Mangroves, Sea-level Rise Protection"
23212420,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212611,"CAIT","BHR","Bahrain","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212799,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212992,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213180,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213373,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213561,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Infrastructure and Roads"
23213754,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Infrastructure and Roads"
23213942,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214135,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214323,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214516,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214704,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_energy","Energy","CCS, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Gas, Gas Flaring, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle"
23214897,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_energy","Energy","CCS, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Gas, Gas Flaring, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle"
23215085,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215278,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215466,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215659,"CAIT","BHR","Bahrain","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215847,"CAIT","BHR","Bahrain","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216039,"CAIT","BHR","Bahrain","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216305,"CAIT","BHR","Bahrain","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216452,"CAIT","BHR","Bahrain","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216641,"CAIT","BHR","Bahrain","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216788,"CAIT","BHR","Bahrain","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
