"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207470,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207663,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207851,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208044,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208232,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208425,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208613,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208806,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208994,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209187,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209375,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209568,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209756,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209949,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210137,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210330,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210518,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210711,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210899,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211092,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211280,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211473,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211661,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211854,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212042,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212234,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212422,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212613,"CAIT","BIH","Bosnia and Herzegovina","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212801,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212994,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213182,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213375,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213563,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213756,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213944,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214137,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214325,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214518,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214706,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_energy","Energy","Gas, Renewable Energy, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants"
23214899,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_energy","Energy","Gas, Renewable Energy, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants"
23215087,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215280,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215468,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215661,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215849,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""INDC is based on the existing strategic documents, inter alia, the following:</p> <ul> <li>SNC</li> <li>FBUR</li> <li>Legislation etc.""</li> </ul><p>""The MRV system in BiH is currently under development (organizational set-up).""</p>"
23216041,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""INDC is based on the existing strategic documents, inter alia, the following:</p> <ul> <li>SNC</li> <li>FBUR</li> <li>Legislation etc.""</li> </ul><p>""The MRV system in BiH is currently under development (organizational set-up).""</p>"
23216287,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""NDC is based on the strategic documents currently in place. When it comes to implementation, the existing institutional framework is used along with its strengthening."""
23216307,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216454,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216625,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216643,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216790,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216960,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216978,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217125,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217295,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217310,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217445,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217620,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","In the forestry sector, measures are planned to increase the sinks by 93 GgCO2eq until 2030. <br>Base year emissions are also provided for with and without sinks. Please visit the relevant section for more information. <br>""Taking into account the size of the GHG sinks in 2014 and emissions according to the conditional target in 2050, net emissions in 2050 would amount to around 5,330 Gg CO2eq, which is about 80% less compared to the net emissions in 1990."""
23217638,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217767,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217945,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217961,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218089,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218267,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218283,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218412,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218591,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218607,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218735,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218913,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218929,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219057,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219237,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219260,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219436,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219666,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Used to offset emissions within the target boundary"
23219690,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23219883,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220133,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible<br>""Meeting the targets is dependent on receiving international assistance and participation in international financial mechanisms for reducing GHG emissions.""""Out of the mechanisms in place, potentially in the EU ETS for achieving the conditional target. In future mechanisms depending on the EU accession process and the market mechanism conditions."""
23220305,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220387,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220473,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""Under the baseline scenario, a steady increase of emissions is expected by 2030 generally due to higher energy consumption, while energy generated from renewable energy sources remains with low utilization rates.""</p><p>""Under this baseline scenario, the power sector, as a major sector, is characterised by a slight increase of the share of power generated from renewable energy sources (RES) due to the feed-in tariff and lower investment costs of RES facilities. However, most of power will come from fossil fuels. In the period 2015 &ndash; 2025, the share of RES will increase by 3% every five years and by 5% thereafter.""</p><ul> <li>""National statistics;</li> <li>Sectoral forecasts""</li> </ul>"
23220562,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""Under the baseline scenario, a steady increase of emissions is expected by 2030 generally due to higher energy consumption, while energy generated from renewable energy sources remains with low utilization rates.""</p><p>""Under this baseline scenario, the power sector, as a major sector, is characterised by a slight increase of the share of power generated from renewable energy sources (RES) due to the feed-in tariff and lower investment costs of RES facilities. However, most of power will come from fossil fuels. In the period 2015 &ndash; 2025, the share of RES will increase by 3% every five years and by 5% thereafter.""</p><ul> <li>""National statistics;</li> <li>Sectoral forecasts""</li> </ul>"
23220659,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","Not Specified"
23220751,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","Not Specified"
23220853,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>""This scenario does not include any mitigation action and implies the &ldquo;business as usual&rdquo; approach. This scenario does not include any significant changes, incentives or extraordinary amendments to the current approach to the setting and attaining of GHG emission targets. A significant feature of this scenario is a relatively low level of interest and action of state and entity level institutions.""</p>"
23220942,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>""This scenario does not include any mitigation action and implies the &ldquo;business as usual&rdquo; approach. This scenario does not include any significant changes, incentives or extraordinary amendments to the current approach to the setting and attaining of GHG emission targets. A significant feature of this scenario is a relatively low level of interest and action of state and entity level institutions.""</p>"
23221040,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221127,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221230,"CAIT","BIH","Bosnia and Herzegovina","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
