"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207472,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management"
23207665,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management"
23207853,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_urban","Urban","Waste Management, Solid Waste"
23208046,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_urban","Urban","Waste Management, Solid Waste"
23208234,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208427,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208615,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism"
23208808,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism"
23208996,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209189,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209377,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Infrastructure and Roads, Waste Management"
23209570,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Infrastructure and Roads, Waste Management"
23209758,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Health Services and Assessment, Sustainable Forest Management"
23209951,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Health Services and Assessment, Sustainable Forest Management"
23210139,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210332,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210520,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210713,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210901,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211094,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211282,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System, Monitoring and Evaluation System"
23211475,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System, Monitoring and Evaluation System"
23211663,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211856,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212044,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Capacity Building and Knowledge Transfer"
23212236,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Capacity Building and Knowledge Transfer"
23212424,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_agriculture","Agriculture","Fisheries and Aquaculture, Food Security, Land and Soil Management, Coastal Management, Capacity Building and Knowledge Transfer"
23212615,"CAIT","BLZ","Belize","Adaptation","",NA,NA,"a_agriculture","Agriculture","Fisheries and Aquaculture, Food Security, Land and Soil Management, Coastal Management, Capacity Building and Knowledge Transfer"
23212803,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212996,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213184,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213377,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213565,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213758,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213946,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management, Wetlands"
23214139,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management, Wetlands"
23214327,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214520,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214708,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Energy Efficiency, Ecosystem and Biodiversity, Awareness Raising and Behavior Change, Health Services and Assessment, Sustainable Forest Management"
23214901,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Energy Efficiency, Ecosystem and Biodiversity, Awareness Raising and Behavior Change, Health Services and Assessment, Sustainable Forest Management"
23215089,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste"
23215282,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste"
23215470,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215663,"CAIT","BLZ","Belize","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215851,"CAIT","BLZ","Belize","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216043,"CAIT","BLZ","Belize","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>Belize intends to support the delivery of its NDC through the implementation of the comprehensive National Climate Change Policy, Strategy and Action Plan. The plan incorporates the following elements:</p><ul><li>Sectoral action plans covering all of the activities summarized above, led by the respective line ministries;</li><li>Synergies with the Growth and Sustainable Development Strategy;</li><li>The Belize National Climate Change Committee, which is supported by the National Climate Change Office, to facilitate the coordination of climate change activities on behalf of the Government of Belize;</li><li>Implementing the National Roadmap to achieve a Low Carbon Development Strategy;</li><li>A proposed Monitoring, Reporting and Verification System (to be developed and implemented), encompassing greenhouse gas inventory, sustainable development impacts, NAMA monitoring reporting and verification framework, adaptation M&amp;E framework and climate finance tracking system;</li><li>Supporting initiatives on stakeholder engagement and capacity building.&nbsp;</li></ul>"
23216308,"CAIT","BLZ","Belize","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""Belize is willing to explore the potential of market mechanisms including CDM and other mechanisms under the UNFCCC process that demonstrate environmental integrity, result in real, permanent, additional, verified mitigation outcomes, prevent double counting and be easily accessible.""</p>"
23216455,"CAIT","BLZ","Belize","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""Belize is willing to explore the potential of market mechanisms, including CDM and other mechanisms under the UNFCCC process, that demonstrate environmental integrity; result in real, long-term, verified mitigation outcomes; prevent double counting; and which are accessible.""</p>"
23216644,"CAIT","BLZ","Belize","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","CDM and other mechanisms under the UNFCCC process"
