"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207473,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Management, Water Supply"
23207666,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Management, Water Supply"
23207854,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208047,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208235,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208428,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208616,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208809,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208997,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209190,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209378,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General, Reforestation"
23209571,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General, Reforestation"
23209759,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209952,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210140,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210333,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210521,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_energy","Energy","Energy Access, Renewable Energy"
23210714,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_energy","Energy","Energy Access, Renewable Energy"
23210902,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211095,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211283,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211476,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211664,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211857,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212045,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212237,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212425,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security, Irrigation, Land and Soil Management"
23212616,"CAIT","BOL","Bolivia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security, Irrigation, Land and Soil Management"
23212804,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Food Security"
23212997,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Food Security"
23213185,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213378,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213566,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213759,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213947,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Conservation, Land Degradation, LULUCF/Forestry: General, Reforestation"
23214140,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Conservation, Land Degradation, LULUCF/Forestry: General, Reforestation"
23214328,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214521,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214709,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Renewable Energy: Hydro"
23214902,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Renewable Energy: Hydro"
23215090,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215283,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215471,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215664,"CAIT","BOL","Bolivia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215852,"CAIT","BOL","Bolivia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216044,"CAIT","BOL","Bolivia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23219693,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23219886,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23220146,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","See Bolivia's full INDC submission for the annext containing ""methodologies used to calculate the results of the Intended Nationally Determined Contribution by the Plurinational State of Bolivia."""
23220199,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","See Bolivia's full INDC submission for the annext containing ""methodologies used to calculate the results of the Intended Nationally Determined Contribution by the Plurinational State of Bolivia."""
23221233,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221425,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221697,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23221889,"CAIT","BOL","Bolivia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23222161,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Not Specified"
23222353,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Not Specified"
23222625,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Not specified; various sectors mentioned for mitigation plans and actions, such as water, energy, forest and agriculture."
23222818,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Not specified; various sectors mentioned for mitigation plans and actions, such as water, energy, forest and agriculture."
23223092,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","Not Specified"
23223284,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","Not Specified"
23223553,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","Not Specified"
23223730,"CAIT","BOL","Bolivia","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","Not Specified"
