"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207475,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207668,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207856,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208049,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208237,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208430,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208618,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208811,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208999,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209192,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209380,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209573,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209761,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_health","Health","Health: General"
23209954,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210142,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210335,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210523,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210716,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210904,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211097,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211285,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery"
23211478,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery"
23211666,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211859,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212047,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management"
23212239,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management"
23212427,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212618,"CAIT","BRB","Barbados","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212806,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212999,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213187,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213380,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213568,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_transport","Transport","Vehicle Fleet"
23213761,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_transport","Transport","Vehicle Fleet"
23213949,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214142,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214330,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214523,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214711,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Renewable Energy"
23214904,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Renewable Energy"
23215092,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215285,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215473,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23215666,"CAIT","BRB","Barbados","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23215854,"CAIT","BRB","Barbados","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Barbados has formalised its commitment to the mitigation activities summarised above through the planning and implementation of various mitigation actions and other initiatives to reduce GHG emissions and green its economy, which include inter alia:</p> <p>- Formulation of NAMA at the national level, presenting a list of viable projects to reduce GHG emissions;<br />- The Barbados component of the CHENACT project, associated with promoting energy-efficiency and renewable energy in the tourism industry for the country, has provided a CDM Program of Activities and is included in the draft energy sector NAMA;<br />- National Sustainable Energy Policy and associated SEF providing top-down contributions for the energy and transport sectors;<br />- Green Economy Scoping Study and related activities;<br />- The CARICOM Declaration For Climate Action, calls for a legally binding commitment at COP21 for enhanced provisions for vulnerable countries and the adoption of the limiting of long-term the global average temperature increase to below 1.5&deg;C above pre-industrial levels;<br />- The BRIDGE<a title="""" href=""#_ftn1"">[1]</a> in Sustainable Energy and Information and Communication Technologies project is focused on developing human capital, while encouraging gender equality, to meet the expected future demand for technicians, professionals and entrepreneurs in the sustainable energy and information and communication technology sectors;<br />- The Resource Efficient Low Carbon and Circular Industrial Partnership Platform for Catalyzing Eco-Innovation and Entrepreneurship in Barbados (RECIPPEE-Barbados) is a new partnership between the GOB and the United Nations Industrial Development Organization (UNIDO) which will help Barbados advance a number of its development priorities, including building a resource efficient green economy through inclusive and sustainable industrial development;<br />- Major contributions by the private sector in installing solar PV and other renewable energy in response to global energy prices, declining renewable energy technology costs and government fiscal incentives.</p> <p>To accompany all of these actions, GOB is also taking steps to put systems and processes in place to institutionalise a formal monitoring, reporting and verification (MRV) system to track national emissions and the impact of specific mitigation actions. As the national focal point the MED will coordinate other related ministries and stakeholders in the preparation of required reports for monitoring progress, implementation and reporting to the UNFCCC or otherwise as may be required.""</p> <p><a title="""" href=""#_ftnref1"">[1]</a> &lsquo;Building capacity and Regional Integration for the Development of a Generation of Entrepreneurs&rsquo;</p><p>See INDC for actions in energy and waste sectors for means of achieving the target.</p>"
23216046,"CAIT","BRB","Barbados","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Barbados has formalised its commitment to the mitigation activities summarised above through the planning and implementation of various mitigation actions and other initiatives to reduce GHG emissions and green its economy, which include inter alia:</p> <p>- Formulation of NAMA at the national level, presenting a list of viable projects to reduce GHG emissions;<br />- The Barbados component of the CHENACT project, associated with promoting energy-efficiency and renewable energy in the tourism industry for the country, has provided a CDM Program of Activities and is included in the draft energy sector NAMA;<br />- National Sustainable Energy Policy and associated SEF providing top-down contributions for the energy and transport sectors;<br />- Green Economy Scoping Study and related activities;<br />- The CARICOM Declaration For Climate Action, calls for a legally binding commitment at COP21 for enhanced provisions for vulnerable countries and the adoption of the limiting of long-term the global average temperature increase to below 1.5&deg;C above pre-industrial levels;<br />- The BRIDGE<a title="""" href=""#_ftn1"">[1]</a> in Sustainable Energy and Information and Communication Technologies project is focused on developing human capital, while encouraging gender equality, to meet the expected future demand for technicians, professionals and entrepreneurs in the sustainable energy and information and communication technology sectors;<br />- The Resource Efficient Low Carbon and Circular Industrial Partnership Platform for Catalyzing Eco-Innovation and Entrepreneurship in Barbados (RECIPPEE-Barbados) is a new partnership between the GOB and the United Nations Industrial Development Organization (UNIDO) which will help Barbados advance a number of its development priorities, including building a resource efficient green economy through inclusive and sustainable industrial development;<br />- Major contributions by the private sector in installing solar PV and other renewable energy in response to global energy prices, declining renewable energy technology costs and government fiscal incentives.</p> <p>To accompany all of these actions, GOB is also taking steps to put systems and processes in place to institutionalise a formal monitoring, reporting and verification (MRV) system to track national emissions and the impact of specific mitigation actions. As the national focal point the MED will coordinate other related ministries and stakeholders in the preparation of required reports for monitoring progress, implementation and reporting to the UNFCCC or otherwise as may be required.""</p> <p><a title="""" href=""#_ftnref1"">[1]</a> &lsquo;Building capacity and Regional Integration for the Development of a Generation of Entrepreneurs&rsquo;</p><p>See INDC for actions in energy and waste sectors for means of achieving the target.</p>"
23216310,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216457,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216646,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","<ul> <li>""Clean Development Mechanism (CDM)</li> <li>Nationally Appropriate Mitigation Action (NAMA)""</li> </ul>"
23216793,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","<ul> <li>""Clean Development Mechanism (CDM)</li> <li>Nationally Appropriate Mitigation Action (NAMA)""</li> </ul>"
23216981,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217128,"CAIT","BRB","Barbados","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217313,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217448,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217641,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217770,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217964,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218092,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218286,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218415,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218610,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218738,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218932,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219060,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219264,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219440,"CAIT","BRB","Barbados","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219695,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23219888,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220475,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""The following assumptions have been made to generate&nbsp;the BAU scenario:</p> <ul> <li>Electricity supply sector &ndash; this has been assumed to grow annually at 1% <a title="""" href=""#_ftn1"">[1]</a></li> <li>Municipal Solid Waste generation &ndash; this has been assumed to remain per capita as in 2014 (latest year available)</li> <li>Transport and combustion in industry &ndash; this has been assumed to increase in line with GDP forecasts<a title="""" href=""#_ftn1"">[2]</a> to 2020 and then continuing on the same trend to 2030 (no GDP projected data available to 2030).</li> <li>All other sources (which are estimated together to contribute less than 10% of GHG emissions) have been assumed to remain at 2010 levels.""</li> </ul> <p><a title="""" href=""#_ftnref1"">[1]</a>&nbsp;Personal communication with Barbados Light &amp; Power on the 17th September 2015.<br /><a title="""" href=""#_ftnref1"">[2]</a>&nbsp;Historical and projected GDP data provided by the Central bank of Barbados on the 17th September 2015.<a title="""" href=""#_ftnref1""><br /></a></p>"
23220563,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""The following assumptions have been made to generate&nbsp;the BAU scenario:</p> <ul> <li>Electricity supply sector &ndash; this has been assumed to grow annually at 1% <a title="""" href=""#_ftn1"">[1]</a></li> <li>Municipal Solid Waste generation &ndash; this has been assumed to remain per capita as in 2014 (latest year available)</li> <li>Transport and combustion in industry &ndash; this has been assumed to increase in line with GDP forecasts<a title="""" href=""#_ftn1"">[2]</a> to 2020 and then continuing on the same trend to 2030 (no GDP projected data available to 2030).</li> <li>All other sources (which are estimated together to contribute less than 10% of GHG emissions) have been assumed to remain at 2010 levels.""</li> </ul> <p><a title="""" href=""#_ftnref1"">[1]</a>&nbsp;Personal communication with Barbados Light &amp; Power on the 17th September 2015.<br /><a title="""" href=""#_ftnref1"">[2]</a>&nbsp;Historical and projected GDP data provided by the Central bank of Barbados on the 17th September 2015.<a title="""" href=""#_ftnref1""><br /></a></p>"
23220661,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","<p>""BAU projections take into account the expected growth in the future in each sector taking into account current mitigation activities.""</p>"
23220752,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","<p>""BAU projections take into account the expected growth in the future in each sector taking into account current mitigation activities.""</p>"
23220855,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>""2008 has been chosen as the base year, so that measures in the waste sector that were implemented in 2009 can be excluded from the BAU projection.""</p>"
23220943,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>""2008 has been chosen as the base year, so that measures in the waste sector that were implemented in 2009 can be excluded from the BAU projection.""</p>"
23221042,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","<p>""A fixed BAU scenario is being used for the INDC""</p>"
23221128,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","<p>""A fixed BAU scenario is being used for the INDC""</p>"
23221235,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221427,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221699,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""Consistent with methodologies used in Barbados&rsquo; forthcoming Second National Communication (2006 IPCC Guidelines).""</p>"
23221891,"CAIT","BRB","Barbados","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""Consistent with methodologies used in Barbados&rsquo; forthcoming Second National Communication (2006 IPCC Guidelines).""</p>"
23222163,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% <br>""Excludes international shipping and aviation and is consistent with IPCC good practice."""
23222355,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% <br>""Excludes international shipping and aviation and is consistent with IPCC good practice."""
23222627,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","<ul> <li>Energy (including domestic transport)</li> <li>Industrial Process and Product Use</li> <li>Waste</li> <li>Agriculture</li> <li>Land Use, Land Use Change and Forestry</li> </ul><p>""Potential emissions reductions from Industrial Process and Product Use, Agriculture and Land Use, Land Use Change and Forestry were not considered, although these sectors are included in the baseline inventory and therefore the &lsquo;economy wide&rsquo; savings.""</p>"
23222820,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","<ul> <li>Energy (including domestic transport)</li> <li>Industrial Process and Product Use</li> <li>Waste</li> <li>Agriculture</li> <li>Land Use, Land Use Change and Forestry</li> </ul><p>""Potential emissions reductions from Industrial Process and Product Use, Agriculture and Land Use, Land Use Change and Forestry were not considered, although these sectors are included in the baseline inventory and therefore the &lsquo;economy wide&rsquo; savings.""</p>"
23223094,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","<ul> <li>Carbon dioxide (CO<sub>2</sub>)</li> <li>Methane (CH<sub>4</sub>)</li> <li>Nitrous oxide (N<sub>2</sub>O)</li> <li>HFCs</li> <li>Sulphur Hexafluoride (SF<sub>6</sub>)</li> </ul><p>""Note: PFCs have not been estimated in the 2010 GHG inventory for Barbados. Barbados is committed to the provisions of the Montreal Protocol. HCFCs are scheduled for global phase out by 2030 and Barbados is already on a phase-out schedule with a 35% reduction forecasted by 2020. HFCs are on the rise nationally and globally but Barbados is committed to the transition to natural refrigerants with no-Ozone Depleting Potential (ODP), and little or no-ODP. This aspect has not been included in the GHG mitigation scenarios that have been undertaken for this INDC.""</p>"
23223286,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","<ul> <li>Carbon dioxide (CO<sub>2</sub>)</li> <li>Methane (CH<sub>4</sub>)</li> <li>Nitrous oxide (N<sub>2</sub>O)</li> <li>HFCs</li> <li>Sulphur Hexafluoride (SF<sub>6</sub>)</li> </ul><p>""Note: PFCs have not been estimated in the 2010 GHG inventory for Barbados. Barbados is committed to the provisions of the Montreal Protocol. HCFCs are scheduled for global phase out by 2030 and Barbados is already on a phase-out schedule with a 35% reduction forecasted by 2020. HFCs are on the rise nationally and globally but Barbados is committed to the transition to natural refrigerants with no-Ozone Depleting Potential (ODP), and little or no-ODP. This aspect has not been included in the GHG mitigation scenarios that have been undertaken for this INDC.""</p>"
23223555,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2, CH4, N2O, HFC, SF6"
23223732,"CAIT","BRB","Barbados","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2, CH4, N2O, HFC, SF6"
23224003,"CAIT","BRB","Barbados","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224181,"CAIT","BRB","Barbados","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224436,"CAIT","BRB","Barbados","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Single-year target"
23224600,"CAIT","BRB","Barbados","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Single-year target"
23224852,"CAIT","BRB","Barbados","Overview","NDC Enhancement",NA,NA,"ndce_source","Source Link","<a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>"
23225011,"CAIT","BRB","Barbados","Overview","NDC Enhancement",NA,NA,"ndce_date","Statement Date","9/23/2019"
23225170,"CAIT","BRB","Barbados","Overview","NDC Enhancement",NA,NA,"ndce_statement","Statement","Per Climate Ambition Alliance statement from Chilean Presidency"
23225329,"CAIT","BRB","Barbados","Overview","NDC Enhancement",NA,NA,"ndce_status_2020","NDC Status","Intends to Enhance Ambition or Action in 2020 NDC"
23225492,"CAIT","BRB","Barbados","Overview","NDC Enhancement",NA,NA,"ndce_ghg","Share of Global GHG Emissions","0.01%"
