"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207476,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207857,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208238,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208619,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209000,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209381,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Land Management"
23209762,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210143,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210524,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210905,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211286,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211667,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212048,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection"
23212428,"CAIT","BRN","Brunei","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops"
23212807,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213188,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213569,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213950,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214331,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214712,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Gas Flaring, Renewable Energy"
23215093,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215474,"CAIT","BRN","Brunei","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215855,"CAIT","BRN","Brunei","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The production of Brunei Darussalam&rsquo;s INDC is a nationally led process, co-ordinated by the Ministry of Development. In order to successfully deliver on the contributions outlined in this INDC a number of steps have already been taken:</p> <p>i. Brunei Darussalam&rsquo;s Initial National Communication and GHG inventory is being drafted. This is the country&rsquo;s first GHG inventory which will give the first accurate estimation of sectoral GHG emissions and will assist with policy development, along with international reporting requirements (e.g. BURs);</p> <p>ii. Brunei Darussalam established the Brunei National Energy Research Institute (BNERI) in 2011 to assist with the formulation of energy policy;</p> <p>iii. Brunei Darussalam&rsquo;s National Disaster Management Centre (NDMC) has developed a Strategic National Action Plan for Disaster Risk Reduction, along with the private sector, non-governmental organisations, local bodies and other national agencies, to ensure a safer and disaster resilient country and community;</p> <p>iv. Sectoral adaption plans currently exist; with further effort these can been developed into a national integrated and coordinated adaptation plan;</p> <p>v. Brunei Darussalam is and will continue to participate in regional networks, such as the ASEAN forum to strengthen regional collaboration efforts, research studies on climate change and its impacts on&nbsp;ASEAN countries&rsquo; biodiversity, and organised future activities on &ldquo;Green themes&rdquo;. This will help the nation to better understand future climate risks and play an active role in co-ordinated regional actions such as the Heart of Borneo Initiative;</p> <p>vi. In terms of flood mitigation, river quality improvement and coastal protection the Government of Brunei Darussalam has outlined an action plan comprised of both structural (physical defences) and non-structural (institutional) measures that are currently being and will be implemented in Brunei Darussalam;</p> <p>vii. The Government of Brunei Darussalam will continue to promote inter-ministerial and interdepartmental co-ordination and collaboration to achieve goals with respect to forestry protection and its associated adaptation benefits. Already for example, revenue generated by the energy sector has financially supported:<br />a. The development of the setup of the project implementation framework of the Heart of Borneo Initiative<br />b. The project &ldquo;Biodiversity Action Plan for Peat Swamp Forest&rdquo;</p> <p>viii. Other areas identified where an integrated approach will be pursued is in the fight against diseases, the incidence of which may be increased due to climate change; and</p> <p>ix. With current limitations on land space for agriculture, the Government of Brunei Darussalam recognises the need to have more efficient agriculture production to meet the increasing demand and to ensure that the crops are resilient to withstand the future impacts of climate change, such as temperature increases and higher risk of flooding.""</p><p>See Brunei's full INDC submission for the energy and transportation related measures as means of achieving the targets.</p>"
23216266,"CAIT","BRN","Brunei","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""Brunei Darussalam has established a multi-sectoral climate change institutional governance to ensure a Whole of-Nation approach in addressing the challenges and opportunities of climate change at a national level. The climate change governance structure consists of the Brunei Darussalam National Council on Climate Change, Executive Committee on Climate Change, Mitigation Working Group, Adaptation and Resilience Working Group, and Support Framework Working Group.""<br>""The varying levels of membership ensures a multi-sectoral collaborative process to approach climate change mitigation, adaptation, resilience and support."""
23216311,"CAIT","BRN","Brunei","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
