"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207478,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Infrastructure"
23207670,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Infrastructure"
23207859,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208051,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208240,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208432,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208621,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208813,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209002,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209194,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209383,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209575,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209764,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23209956,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210145,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210337,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210526,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210718,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210907,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211099,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211288,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211480,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211669,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211861,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212050,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212241,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212430,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212620,"CAIT","BWA","Botswana","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212809,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213001,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213190,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213382,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213571,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213763,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213952,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214144,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214333,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214525,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214714,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214906,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215095,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215287,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215476,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215668,"CAIT","BWA","Botswana","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215857,"CAIT","BWA","Botswana","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216048,"CAIT","BWA","Botswana","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216313,"CAIT","BWA","Botswana","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216459,"CAIT","BWA","Botswana","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216649,"CAIT","BWA","Botswana","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
