"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207480,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207672,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207861,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208053,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208242,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208434,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208623,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208815,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209004,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209196,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209385,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209577,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209766,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23209958,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210147,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210339,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210528,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210720,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210909,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211101,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211290,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Demand-Side Efficiency: Appliances"
23211482,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Demand-Side Efficiency: Appliances"
23211671,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23211863,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212052,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212243,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212432,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212622,"CAIT","CAN","Canada","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212811,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213003,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213192,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213384,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213573,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Maritime, Public Transport, Rail, Vehicle Fleet"
23213765,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Maritime, Public Transport, Rail, Vehicle Fleet"
23213954,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation"
23214146,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation"
23214335,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214527,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214716,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Cities, Renewable Energy, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle, Industries: General"
23214908,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Cities, Renewable Energy, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle, Industries: General"
23215097,"CAIT","CAN","Canada","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy"
