"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207490,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207682,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207871,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208063,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208252,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208444,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208633,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208825,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209014,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209206,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209395,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209587,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209776,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23209968,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210157,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210349,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210538,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210730,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210919,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211111,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211300,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System, Monitoring and Evaluation System"
23211492,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System, Monitoring and Evaluation System"
23211681,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211873,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212062,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212253,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212442,"CAIT","COM","Comoros","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
