"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207496,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207688,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207877,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208069,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208258,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208450,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208639,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208831,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209020,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209212,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209401,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209593,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209782,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209974,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210163,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210355,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210544,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210736,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210925,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211117,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211306,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211498,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211687,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211879,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212068,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212259,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212448,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212638,"CAIT","DEU","Germany","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212827,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213019,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213208,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213400,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213589,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213781,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213970,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214162,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214351,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214543,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214732,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214924,"CAIT","DEU","Germany","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
