"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207501,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207693,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207882,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208074,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208263,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_transport","Transport","Sustainable Transport Planning"
23208455,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_transport","Transport","Sustainable Transport Planning"
23208644,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208836,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209025,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209217,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209406,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209598,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209787,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23209979,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210168,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210360,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210549,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210741,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210930,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211122,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211311,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211503,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211692,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211884,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212073,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212264,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212453,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212643,"CAIT","DZA","Algeria","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212832,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213024,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213213,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213405,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213594,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213786,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213975,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214167,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214356,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214548,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214737,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Demand-Side Efficiency: Appliances, Gas Flaring, Renewable Energy"
23214929,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Demand-Side Efficiency: Appliances, Gas Flaring, Renewable Energy"
23215118,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_waste","Waste","Waste: General, Wastewater"
23215310,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_waste","Waste","Waste: General, Wastewater"
23215499,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215691,"CAIT","DZA","Algeria","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
