"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207502,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_water","Water","Water Management, Water supply, Water Infrastructure"
23207694,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_water","Water","Water Management, Water supply, Water Infrastructure"
23207883,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208075,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208264,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and roads"
23208456,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and roads"
23208645,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208837,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209026,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209218,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209407,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209599,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209788,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_health","Health","Disease Surveilance and Control, Health: General, Awareness raising and behavior change, Health services and assessment"
23209980,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_health","Health","Disease Surveilance and Control, Health: General, Awareness raising and behavior change, Health services and assessment"
23210169,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210361,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210550,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210742,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210931,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211123,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211312,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early warning system, Disaster Risk Management (DRM): General"
23211504,"CAIT","ECU","Ecuador","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early warning system, Disaster Risk Management (DRM): General"
