"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207506,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207698,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207887,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208079,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208268,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208460,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208649,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208841,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209030,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209222,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209411,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209603,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209792,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209984,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210173,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210365,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210554,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210746,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210935,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211127,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211316,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211508,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211697,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211889,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212078,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212269,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212458,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212648,"CAIT","EST","Estonia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
