"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207511,"CAIT","FRA","France","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207703,"CAIT","FRA","France","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207892,"CAIT","FRA","France","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208084,"CAIT","FRA","France","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208273,"CAIT","FRA","France","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208465,"CAIT","FRA","France","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208654,"CAIT","FRA","France","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208846,"CAIT","FRA","France","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209035,"CAIT","FRA","France","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209227,"CAIT","FRA","France","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209416,"CAIT","FRA","France","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209608,"CAIT","FRA","France","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209797,"CAIT","FRA","France","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209989,"CAIT","FRA","France","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210178,"CAIT","FRA","France","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210370,"CAIT","FRA","France","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210559,"CAIT","FRA","France","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210751,"CAIT","FRA","France","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210940,"CAIT","FRA","France","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211132,"CAIT","FRA","France","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211321,"CAIT","FRA","France","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211513,"CAIT","FRA","France","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211702,"CAIT","FRA","France","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211894,"CAIT","FRA","France","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212083,"CAIT","FRA","France","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212274,"CAIT","FRA","France","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212463,"CAIT","FRA","France","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212653,"CAIT","FRA","France","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212842,"CAIT","FRA","France","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213034,"CAIT","FRA","France","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213223,"CAIT","FRA","France","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213415,"CAIT","FRA","France","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213604,"CAIT","FRA","France","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213796,"CAIT","FRA","France","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213985,"CAIT","FRA","France","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214177,"CAIT","FRA","France","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214366,"CAIT","FRA","France","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214558,"CAIT","FRA","France","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214747,"CAIT","FRA","France","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214939,"CAIT","FRA","France","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215128,"CAIT","FRA","France","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215320,"CAIT","FRA","France","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215509,"CAIT","FRA","France","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215701,"CAIT","FRA","France","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215890,"CAIT","FRA","France","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216081,"CAIT","FRA","France","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216243,"CAIT","FRA","France","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The enhanced target is based on an extensive impact assessment, as well as stakeholder input, collected via public consultation."""
23217340,"CAIT","FRA","France","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
