"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207512,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207704,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207893,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208085,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208274,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208466,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208655,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208847,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209036,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209228,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209417,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209609,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209798,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209990,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210179,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210371,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210560,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210752,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210941,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211133,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211322,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211514,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211703,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211895,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212084,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212275,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212464,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212654,"CAIT","FSM","Micronesia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212843,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213035,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213224,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213416,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213605,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213797,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213986,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214178,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214367,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214559,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214748,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_energy","Energy","Energy: General"
23214940,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_energy","Energy","Energy: General"
23215129,"CAIT","FSM","Micronesia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
