"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207513,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207705,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207894,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208086,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208275,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208467,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208656,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208848,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209037,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209229,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209418,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209610,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209799,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209991,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210180,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210372,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210561,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210753,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210942,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211134,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211323,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211515,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211704,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211896,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212085,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212276,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212465,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212655,"CAIT","GAB","Gabon","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212844,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213036,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213225,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213417,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213606,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213798,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213987,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Land Management"
23214179,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Land Management"
23214368,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214560,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214749,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Gas Flaring, Gas-to-Power, Renewable Energy: Hydro, Renewable Energy: Solar"
23214941,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Gas Flaring, Gas-to-Power, Renewable Energy: Hydro, Renewable Energy: Solar"
23215130,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215322,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215511,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215703,"CAIT","GAB","Gabon","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215892,"CAIT","GAB","Gabon","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>(Gabon communicated the following information in Annex I, which provides additional information about the INDC.)</p> <p>""La r&eacute;daction de la contribution du Gabon s&rsquo;est bas&eacute;e sur un ensemble de documents strat&eacute;giques dont le Plan Strat&eacute;gique Gabon Emergent, le Plan National Climat, les plans op&eacute;rationnels sectoriels et les textes r&egrave;glementaires en vigueur. Par ailleurs, le processus mis en place pour cette r&eacute;daction a fait intervenir directement les acteurs publics et priv&eacute;s en charge de la mise en oeuvre des politiques publiques ou de leur stricte application.""</p> <p>The draft of Gabon's contribution is based on a set of strategic documents including the Strategic Plan for an Emerging Gabon, the National Climate Plan, operational sector plans and regulatory provisions. Moreover, the process for developing this draft has directly involved public and private actors in charge of the implementation of public policies or their strict application.</p>"
