"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207515,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207707,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207896,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208088,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208277,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208469,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208658,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208850,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209039,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209231,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209420,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209612,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209801,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209993,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210182,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210374,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210563,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210755,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210944,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211136,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211325,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery, Early Warning System"
23211517,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery, Early Warning System"
23211706,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211898,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212087,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212278,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212467,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation, Land and Soil Management"
23212657,"CAIT","GEO","Georgia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation, Land and Soil Management"
23212846,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213038,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213227,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213419,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213608,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_transport","Transport","Urban Transport"
23213800,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_transport","Transport","Urban Transport"
23213989,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Conservation, Sustainable Forest Management"
23214181,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Conservation, Sustainable Forest Management"
23214370,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214562,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214751,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General"
23214943,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General"
23215132,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215324,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215513,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215705,"CAIT","GEO","Georgia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
