"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207516,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207708,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207897,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208089,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208278,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208470,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208659,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208851,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209040,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209232,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209421,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209613,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209802,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23209994,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210183,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210375,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210564,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210756,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210945,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211137,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211326,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211518,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211707,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211899,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212088,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212279,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212468,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security"
23212658,"CAIT","GHA","Ghana","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security"
23212847,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213039,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213228,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213420,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213609,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_transport","Transport","Transit-Oriented Development"
23213801,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_transport","Transport","Transit-Oriented Development"
23213990,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","REDD+, Reforestation, Sustainable Forest Management"
23214182,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","REDD+, Reforestation, Sustainable Forest Management"
23214371,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214563,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214752,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Industries, Energy: General, Gas, Renewable Energy, Renewable Energy: Hydro, Renewable Energy: Off-Grid, Renewable Energy: Solar, Renewable Energy: Solar: Utility Scale, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement"
23214944,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Industries, Energy: General, Gas, Renewable Energy, Renewable Energy: Hydro, Renewable Energy: Off-Grid, Renewable Energy: Solar, Renewable Energy: Solar: Utility Scale, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement"
23215133,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste, Waste: General"
23215325,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste, Waste: General"
23215514,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_industries","Industries","Air Conditioners and Refrigerators, Chemicals, HFCs, SLCPs"
23215706,"CAIT","GHA","Ghana","Mitigation","",NA,NA,"m_industries","Industries","Air Conditioners and Refrigerators, Chemicals, HFCs, SLCPs"
23215895,"CAIT","GHA","Ghana","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Ghana's INDC was prepared through a comprehensive and participatory process with high-level cabinet approval.""</p> <p>""The INDC is anchored in the anticipated 40-year long-term development, the GSGDA II, National Climate Change Policy as well as the Low Carbon Development Strategy. Many national policies, laws and regulation will support implementation in the first 10-year period and beyond with the possibility of mid-term review in 2025.""</p> <p>""The proposed measures to achieve the INDC goal will build on existing measures and strategies. The existing legal frameworks will have to be revised accordingly. These revisions are subject to approval by Ghana&rsquo;s Parliament. Details of the national policies and measures that will support the implementation of the INDC are presented in Annex 1 and Annex 2.""</p>"
