"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207523,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207715,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207904,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208096,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208285,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208477,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208666,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208858,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209047,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209239,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209428,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209620,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209809,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210001,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210190,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210382,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210571,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210763,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210952,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211144,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211333,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211525,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211714,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211906,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212095,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212286,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212475,"CAIT","GTM","Guatemala","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
