"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207524,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_water","Water","Water Infrastructure"
23207716,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_water","Water","Water Infrastructure"
23207905,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208097,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208286,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208478,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208667,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208859,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209048,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209240,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209429,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Forest Management"
23209621,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Forest Management"
23209810,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210002,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210191,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210383,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_environment","Environment","Watershed and River Basin Management"
23210572,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210764,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210953,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211145,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211334,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211526,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211715,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Climate Risk Management, Climate Services"
23211907,"CAIT","GUY","Guyana","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Climate Risk Management, Climate Services"
