"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207525,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207717,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207906,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208098,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208287,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208479,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208668,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208860,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209049,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209241,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209430,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209622,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209811,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210003,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210192,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210384,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210573,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210765,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210954,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211146,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211335,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211527,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211716,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211908,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212097,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212288,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212477,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroforestry, Food Security"
23212667,"CAIT","HND","Honduras","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroforestry, Food Security"
23212856,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213048,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213237,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213429,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213618,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213810,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213999,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214191,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214380,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214572,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214761,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214953,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215142,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215334,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215523,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215715,"CAIT","HND","Honduras","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
