"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207533,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Management"
23207914,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208295,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208676,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209057,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209438,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209819,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210200,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210581,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210962,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211343,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211724,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212105,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212485,"CAIT","IRQ","Iraq","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Fertilizers"
23212864,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Climate Smart Agriculture"
23213245,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213626,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Inter-Urban Transport, Public Transport, Rail, Transport: General, Vehicle Fleet"
23214007,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, Sustainable Land Management"
23214388,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214769,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_energy","Energy","CCS, Demand-Side Efficiency: Industries, Gas, Gas Flaring, Renewable Energy: Hydro, Renewable Energy: Solar, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching"
23215150,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_waste","Waste","Recycling, Reuse, Reduce, Waste: General, Waste-to-Energy"
23215531,"CAIT","IRQ","Iraq","Mitigation","",NA,NA,"m_industries","Industries","Chemicals"
23215912,"CAIT","IRQ","Iraq","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>There are strategic plans in place that provide the basis for implementation of these proposed reductions. They include:</p> <ul> <li>Integrated Energy Strategy (2013-2030)</li> <li>Industrial Strategy of Iraq (-2030)</li> <li>Strategy to Develop the Private Sector until 2030</li> <li>The National Strategy for the Protection of the Environment</li> </ul>"
