"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207538,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207728,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207919,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208109,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208300,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208490,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208681,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208871,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209062,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209252,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209443,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209633,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209824,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210014,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210205,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_environment","Environment","Air Quality Management , Ecosystem and Biodiversity"
23210395,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_environment","Environment","Air Quality Management , Ecosystem and Biodiversity"
23210586,"CAIT","JOR","Jordan","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
