"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207543,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207733,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207924,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208114,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208305,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208495,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208686,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208876,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209067,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209257,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209448,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209638,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209829,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210019,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210210,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210400,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210591,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210781,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210972,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211162,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211353,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211543,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211734,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211924,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212115,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212304,"CAIT","KHM","Cambodia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
