"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207549,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Efficiency, Water Management"
23207739,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Efficiency, Water Management"
23207930,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208120,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208311,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208501,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208692,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208882,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209073,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209263,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209454,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209644,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209835,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210025,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210216,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210406,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210597,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210787,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210978,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211168,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211359,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211549,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211740,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211930,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212121,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212310,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212501,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Irrigation"
23212689,"CAIT","LBN","Lebanon","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Irrigation"
23212880,"CAIT","LBN","Lebanon","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213070,"CAIT","LBN","Lebanon","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213261,"CAIT","LBN","Lebanon","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
