"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207550,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207740,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207931,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208121,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208312,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208502,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208693,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208883,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209074,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209264,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209455,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management"
23209645,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management"
23209836,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210026,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210217,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210407,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210598,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning, Renewable Energy"
23210788,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning, Renewable Energy"
23210979,"CAIT","LBR","Liberia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
