"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207552,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management"
23207741,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management"
23207933,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208122,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208314,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208503,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208695,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208884,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209076,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209265,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209457,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management, Wetlands"
23209646,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management, Wetlands"
23209838,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210027,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210219,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210408,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210600,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210789,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210981,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211170,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211362,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211551,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211743,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211932,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212124,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212312,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212504,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation"
23212691,"CAIT","LCA","Saint Lucia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation"
23212883,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213072,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213264,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213453,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213645,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23213834,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23214026,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214215,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214407,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214596,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214788,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Energy: General, Renewable Energy"
23214977,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Energy: General, Renewable Energy"
23215169,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy"
23215358,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy"
23215550,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_industries","Industries","HFCs, Industries: General"
23215739,"CAIT","LCA","Saint Lucia","Mitigation","",NA,NA,"m_industries","Industries","HFCs, Industries: General"
23215930,"CAIT","LCA","Saint Lucia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Saint Lucia&rsquo;s iNDC was prepared though a consultative process involving key sector stakeholders who were engaged initially under the TNC process, to provide inputs into the development of the Greenhouse Gas Inventory and Mitigation Assessment chapters and then through a validation exercise, to seek national support for the proposed measures and targets. The effort received considerable technical support and guidance from Stiebert Consulting, Enviro Economics, Climate Analytics and the National Renewable Energy Laboratory (NREL) of the USA.""</p><p>Reviews<br />""Implementation will be reviewed every 5 years""</p>"
23216119,"CAIT","LCA","Saint Lucia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Saint Lucia&rsquo;s iNDC was prepared though a consultative process involving key sector stakeholders who were engaged initially under the TNC process, to provide inputs into the development of the Greenhouse Gas Inventory and Mitigation Assessment chapters and then through a validation exercise, to seek national support for the proposed measures and targets. The effort received considerable technical support and guidance from Stiebert Consulting, Enviro Economics, Climate Analytics and the National Renewable Energy Laboratory (NREL) of the USA.""</p><p>Reviews<br />""Implementation will be reviewed every 5 years""</p>"
23216278,"CAIT","LCA","Saint Lucia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""Led by the Department of Sustainable Development in consultation with the Energy Division and the Department for Economic Development, and building on the lesson learnt from the multi-stakeholder engagement process used in 2015 to develop the first NDC, Saint Lucia began the revision process in 2019.""<br>The following are some of the best practices that have been identified during the preparation of Saint Lucia’s NDC:<ul><li>A key component of Saint Lucia’s NDC is that it was built upon existing processes, data collection, policies, initiatives, and commitments - including the NETS, NAP, SASAPs, BUR development and Saint Lucia’s Climate Change Research Policy and Strategy. In doing so, Saint Lucia was able to take advantage of updated inventories, robust data and cross-cutting expertise.</li><li>Capitalising on the synergies and timing of the different processes, Saint Lucia increased collaboration across Implementing Partners and reduced the need to conduct separate stakeholder consultations on similar issues, therefore reducing stakeholder fatigue. It is essential for Implementing Partners to work together in a seamless manner.</li><li>In determining the level of ambition, it was crucial for Saint Lucia to undertake long-term energy system modeling for 2050 and what would subsequently be recommended at 2030 to support energy transformation, decarbonisation and building resilience.</li><li>The engagement of stakeholders from public sector, private sector, academia and civil society was key to ensuring the interest and buy-in to the NDC process and revised targets. Specific engagement was undertaken with the youth, who account for a large percentage of the population.</li><li>Please see Section 4(a)(i) for the Cabinet-approved guidance on the engagement of stakeholders and the development of climate-relevant instruments.</li></ul>"
23216367,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216511,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216617,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified but the following is mentioned, ""It is worth noting that Saint Lucia is in the process of exploring a national REDD+ program and is implementing efforts to maintain its current forest cover, as well as undertaking efforts to protect watersheds through forest protection measures. This supports our adaptation efforts. Bearing in mind the ongoing negotiations on Article 6 of the Paris Agreement, and the related uncertainties around double counting emissions reductions, Saint Lucia is not including forest sink capacity targets in this NDC revision at this time. Saint Lucia will continue to look at challenges and opportunities in the sector, including capacity building, for future inclusion of the forest and AFOLU sector in its NDCs."""
23216703,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216847,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216952,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217038,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217182,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217287,"CAIT","LCA","Saint Lucia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23219335,"CAIT","LCA","Saint Lucia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","<p>""Land-Use, Land-Use Change and Forestry (LULUCF) was not included in the baseline projection because of the high degree of uncertainty in developing projections of sources and sinks within this sector.</p> <p>...</p> <p>It must be noted though, that while LULUCF is not included in terms of specific projected emissions reductions, there is recognition in this report, that Saint Lucia&rsquo;s forestry cover acts as a sink, whose value should not be underestimated. Significant work is currently being conducted to improve forest inventory data, develop policies for forest management and protection and to identify reforestation projects. While estimates of potential greenhouse gas emission reductions have not been included in the iNDC, preliminary information indicates that LULUCF projects could potentially contribute as much as 4% additional emission reductions relative to the BAU by&nbsp;2030. LULUCF sector contributions may be included in future updates to the iNDC if sufficient data become available.""</p>"
23219508,"CAIT","LCA","Saint Lucia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","<p>""Land-Use, Land-Use Change and Forestry (LULUCF) was not included in the baseline projection because of the high degree of uncertainty in developing projections of sources and sinks within this sector.</p> <p>...</p> <p>It must be noted though, that while LULUCF is not included in terms of specific projected emissions reductions, there is recognition in this report, that Saint Lucia&rsquo;s forestry cover acts as a sink, whose value should not be underestimated. Significant work is currently being conducted to improve forest inventory data, develop policies for forest management and protection and to identify reforestation projects. While estimates of potential greenhouse gas emission reductions have not been included in the iNDC, preliminary information indicates that LULUCF projects could potentially contribute as much as 4% additional emission reductions relative to the BAU by&nbsp;2030. LULUCF sector contributions may be included in future updates to the iNDC if sufficient data become available.""</p>"
23219658,"CAIT","LCA","Saint Lucia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not included in the target. <br>""Due to ongoing negotiations on Article 6 of the Paris Agreement, and the related uncertainties around double counting emissions reductions, Saint Lucia is not including forest sink capacity targets in this NDC revision. Saint Lucia will continue to look at challenges and opportunities in the sector, including capacity building, for a future inclusion of the forest and AFOLU sector in its NDCs."""
23219772,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23219961,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220121,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes. ""National level market-based instruments, such as cap-and- trade emission trading schemes and offsetting, are crucial to price carbon emissions and keep the costs of mitigation in Saint Lucia low. These will be pursued to encourage implementation of the proposed mitigation measures drawing on any applicable international arrangements. Saint Lucia is in the process of developing a national REDD+ program."""
23220338,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220415,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220510,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""The drivers of emissions growth considered were economic growth, changes in population, energy supply and prices, the adoption of new technologies and the impact of government policies and measures.""</p>"
23220594,"CAIT","LCA","Saint Lucia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","<p>""The drivers of emissions growth considered were economic growth, changes in population, energy supply and prices, the adoption of new technologies and the impact of government policies and measures.""</p>"
