"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207557,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207745,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207938,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208126,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208319,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208507,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208700,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208888,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209081,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209269,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209462,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209650,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209843,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210031,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210224,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210412,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210605,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210793,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210986,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211174,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211367,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211555,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211748,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211936,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212129,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212316,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212509,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212695,"CAIT","LUX","Luxembourg","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212888,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213076,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213269,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213457,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213650,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213838,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214031,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214219,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214412,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214600,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214793,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214981,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215174,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215362,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215555,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215743,"CAIT","LUX","Luxembourg","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215935,"CAIT","LUX","Luxembourg","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216123,"CAIT","LUX","Luxembourg","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216250,"CAIT","LUX","Luxembourg","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The enhanced target is based on an extensive impact assessment, as well as stakeholder input, collected via public consultation."""
23217372,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217506,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217597,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","""Under Regulation (EU) 2018/841 on the inclusion and accounting of greenhouse gas emissions and removals from land use, land use change and forestry in the EU framework, for the periods from 2021 to 2025 and from 2026 to 2030, each Member State shall ensure that emissions do not exceed removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories combined, as accounted in accordance with this Regulation."""
23217696,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217824,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217915,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","""Member States may use provision for natural disturbances on afforested land and managed forest land as set out in Art 10 and Annex VI of Regulation (EU) 2018/841."""
23218019,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218146,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218237,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218341,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218469,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218561,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","""Afforested Land and Deforested Land use baseline zero (gross-net accounting). Managed Grassland, Managed Cropland and Managed Wetland use as baseline the average emissions between 2005 and 2009 (net-net accounting). Managed Forest Land uses as baseline a Forest Reference Level based on continuation of Forest Management Practices between 2000 and 2009 and taking into account the age-class structure of forests, projected through the compliance period. The mere presence of carbon stocks is excluded from accounting."""
23218665,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Comprehensive accounting framework, activity or land-based approach, for emissions and removals from land use, land-use change and forestry. "
23218792,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Comprehensive accounting framework, activity or land-based approach, for emissions and removals from land use, land-use change and forestry. "
23218883,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","""The EU’s LULUCF policy framework builds on IPCC guidance, TACCC principles and existing accounting rules, updating and improving them for the period from 2021 to 2030. The policy framework identifies net accounted emissions and removals, contributing to the aim of enhancing the EU’s net land sinks in the long-term.""<br>""Approach used to account for emissions and removals from harvested wood products: The EU uses the Production Approach as defined in IPCC Guidelines; see also Art 9 and Annex V of Regulation (EU) 2018/841."""
23218987,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<ul> <li>""Afforestation, reforestation</li> <li>Deforestation</li> <li>Forest management</li> <li>Cropland management</li> <li>Grazing land management</li> <li>Or equivalent land-based accounting using UNFCCC reporting categories</li> <li>Other categories/activities elected by the EU and its Member States as Parties to the Kyoto Protocol and its Doha Amendment.""</li> </ul>"
23219114,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<ul> <li>""Afforestation, reforestation</li> <li>Deforestation</li> <li>Forest management</li> <li>Cropland management</li> <li>Grazing land management</li> <li>Or equivalent land-based accounting using UNFCCC reporting categories</li> <li>Other categories/activities elected by the EU and its Member States as Parties to the Kyoto Protocol and its Doha Amendment.""</li> </ul>"
23219205,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","""LULUCF Categories: Emissions and removals occurring on reported categories of forest land, cropland, grassland, and wetland, including land use change between these categories, and between these categories and settlements and other land. LULUCF Pools: Above-ground biomass; Below-ground biomass; Litter; Dead wood; Soil organic carbon; Harvested wood products."""
23219340,"CAIT","LUX","Luxembourg","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not Specified. ""Policy on how to include Land Use, Land Use Change and Forestry into the 2030 greenhouse gas mitigation framework will be established as soon as technical conditions allow and in any case before 2020."""
