"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207562,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207750,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207943,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208131,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208324,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208512,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208705,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208893,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209086,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209274,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209467,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209655,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209848,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210036,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210229,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210417,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210610,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210798,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210991,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211179,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211372,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211560,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211753,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211941,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212134,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212321,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212514,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Crops"
23212700,"CAIT","MDG","Madagascar","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Crops"
23212893,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213081,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213274,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213462,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213655,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213843,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214036,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General, Reforestation, Reforestation"
23214224,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General, Reforestation, Reforestation"
23214417,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214605,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214798,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Energy: General, Renewable Energy"
23214986,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Efficient Cookstoves, Energy: General, Renewable Energy"
23215179,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_waste","Waste","Wastewater"
23215367,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_waste","Waste","Wastewater"
23215560,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215748,"CAIT","MDG","Madagascar","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215940,"CAIT","MDG","Madagascar","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDC was developed using multiple stakeholders, iterative consultation process. This&nbsp;process has involved several bilateral meetings and a series of two national consultations. It was&nbsp;built and is highlighting synergies with existing national framework documents (Politique&nbsp;G&eacute;n&eacute;rale de l&rsquo;Etat; Plan National de D&eacute;veloppement 2015-2019; Politique Nationale de Lutte&nbsp;contre le Changement Climatique). INDC concepts continue and/or support other related&nbsp;UNFCCC processes, including the Third National Communication (TNC), Biennal Update Reports,&nbsp;National Action Program of Adaptation to Climate Change (NAPA), National Appropriated&nbsp;Mitigation Actions (NAMA), and the National Technological Assessment (TNA). The INDC&nbsp;process was coordinated by the Bureau National de Coordination des Changements Climatiques&nbsp;(BNCCC).</p> <p>Overall implementation, as well as monitoring and evaluation of the INDC will be articulated&nbsp;around existing or future strategic documents (among which the National Adaptation Plan).&nbsp;They will particularly emphasise participatory and inclusive process of all stakeholders, with a&nbsp;strong leadership from the Ministry of Environment, Ecology, the Sea and Forests, which is lead&nbsp;coordinating entity of all actions to combat climate change. The integrated approach will be used&nbsp;to highlight the complementarities of actions and means, in order to achieve better results.""</p>"
23216128,"CAIT","MDG","Madagascar","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDC was developed using multiple stakeholders, iterative consultation process. This&nbsp;process has involved several bilateral meetings and a series of two national consultations. It was&nbsp;built and is highlighting synergies with existing national framework documents (Politique&nbsp;G&eacute;n&eacute;rale de l&rsquo;Etat; Plan National de D&eacute;veloppement 2015-2019; Politique Nationale de Lutte&nbsp;contre le Changement Climatique). INDC concepts continue and/or support other related&nbsp;UNFCCC processes, including the Third National Communication (TNC), Biennal Update Reports,&nbsp;National Action Program of Adaptation to Climate Change (NAPA), National Appropriated&nbsp;Mitigation Actions (NAMA), and the National Technological Assessment (TNA). The INDC&nbsp;process was coordinated by the Bureau National de Coordination des Changements Climatiques&nbsp;(BNCCC).</p> <p>Overall implementation, as well as monitoring and evaluation of the INDC will be articulated&nbsp;around existing or future strategic documents (among which the National Adaptation Plan).&nbsp;They will particularly emphasise participatory and inclusive process of all stakeholders, with a&nbsp;strong leadership from the Ministry of Environment, Ecology, the Sea and Forests, which is lead&nbsp;coordinating entity of all actions to combat climate change. The integrated approach will be used&nbsp;to highlight the complementarities of actions and means, in order to achieve better results.""</p>"
23217376,"CAIT","MDG","Madagascar","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217510,"CAIT","MDG","Madagascar","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217700,"CAIT","MDG","Madagascar","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217828,"CAIT","MDG","Madagascar","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
