"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207564,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Management"
23207752,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Management"
23207945,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208133,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208326,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208514,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208707,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208895,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209088,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209276,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209469,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209657,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209850,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change"
23210038,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change"
23210231,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210419,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210612,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210800,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210993,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211181,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211374,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211562,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211755,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23211943,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23212136,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212323,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212516,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Food Security"
23212702,"CAIT","MEX","Mexico","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Food Security"
23212895,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213083,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213276,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213464,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213657,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213845,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214038,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214226,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214419,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214607,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214800,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214988,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215181,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215369,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215562,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215750,"CAIT","MEX","Mexico","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215942,"CAIT","MEX","Mexico","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Mexico supports its INDC in a robust national climate change policy that includes, inter alia, the following instruments:</p> <ul> <li>General Climate Change Law. 2012 </li> <li>National Strategy on Climate Change, 10-20-40 years. 2013 </li> <li>Carbon tax.2014 </li> <li>National Emissions and Emissions Reductions Registry. 2014 </li> <li>Energy reform (laws and regulations). 2014 </li> <li>Ongoing process for new set of standards and regulations </li> </ul> <p>The elaboration of this INDC includes a public participatory process through multiple sectorial meetings and a web based public survey.""</p>"
23216130,"CAIT","MEX","Mexico","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Mexico supports its INDC in a robust national climate change policy that includes, inter alia, the following instruments:</p> <ul> <li>General Climate Change Law. 2012 </li> <li>National Strategy on Climate Change, 10-20-40 years. 2013 </li> <li>Carbon tax.2014 </li> <li>National Emissions and Emissions Reductions Registry. 2014 </li> <li>Energy reform (laws and regulations). 2014 </li> <li>Ongoing process for new set of standards and regulations </li> </ul> <p>The elaboration of this INDC includes a public participatory process through multiple sectorial meetings and a web based public survey.""</p>"
23216271,"CAIT","MEX","Mexico","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","“Following Mexico's ratification of the Paris Agreement and its entry in force in 2016, the necessary legal adaptations were made to include the provisions of the Paris Agreement in the national legal framework, and the institutional frameworks for its application were defined. Thus, the General Law on Climate Change (LGCC) was reformed in 2018 to establish the figure of ""Nationally Determined Contributions"" as the ""set of objectives and goals, assumed by Mexico, within the framework of the Paris Agreement, in matters of mitigation and adaptation to climate change to meet the long-term objectives of the United Nations Framework Convention on Climate Change"", as set out in Article 3, section X of the LGCC.”<br>”The Special Climate Change Program (2020-2024) is a planning instrument derived from the LGCC and is closely aligned with the National Development Plan (2018—2024) and the National Climate Change Strategy vision 10–20–40, as well as the sectoral programs of 14 Ministries of State. The National Climate Change Strategy, as it is described in the Law, is the basis of the Mid-Century Strategy that Mexico submitted to the Convention in 2016, which establishes the long-term approach for low emission development.”<br>”Additionally, the NDC identifies actions undertaken by the states to reduce emissions within their jurisdiction and will be registered by the Federal Government, who will supervise and quantify these actions through a monitoring system.” <br>Visit the section on Planning Process in the updated NDC for more information."
23216375,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216518,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216610,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216711,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216854,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216945,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217046,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217189,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217280,"CAIT","MEX","Mexico","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217377,"CAIT","MEX","Mexico","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217511,"CAIT","MEX","Mexico","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
