"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207571,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Supply"
23207759,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Supply"
23207952,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208140,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208333,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208521,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208714,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208902,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209095,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209283,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209476,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23209664,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23209857,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210045,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210238,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210426,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210619,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210807,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211000,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211188,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211381,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211569,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211762,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211950,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212143,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212330,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212523,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Land and Soil Management, Livestock"
23212709,"CAIT","MNG","Mongolia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Land and Soil Management, Livestock"
23212902,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Land and Soil Management"
23213090,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Land and Soil Management"
23213283,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213471,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213664,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Road Sector, Transport: General, Transportation Fuels, Vehicle Fleet"
23213852,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Road Sector, Transport: General, Transportation Fuels, Vehicle Fleet"
23214045,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214233,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214426,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214614,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214807,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Demand-Side Efficiency: Buildings, Energy: General, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants"
23214995,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Demand-Side Efficiency: Buildings, Energy: General, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants"
23215188,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215376,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215569,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_industries","Industries","Cement, Industries: General"
23215757,"CAIT","MNG","Mongolia","Mitigation","",NA,NA,"m_industries","Industries","Cement, Industries: General"
