"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207579,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Quality, Water Supply"
23207767,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Quality, Water Supply"
23207960,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208148,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208341,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208529,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208722,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208910,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209103,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209291,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209484,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23209672,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23209865,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210053,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210246,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210434,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210627,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning"
23210815,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning"
23211008,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211196,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211389,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Monitoring and Evaluation System"
23211577,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Monitoring and Evaluation System"
23211770,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211958,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212151,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212338,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212531,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Climate Smart Agriculture, Crops, Fisheries and Aquaculture, Irrigation, Land and Soil Management"
23212717,"CAIT","NGA","Nigeria","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Climate Smart Agriculture, Crops, Fisheries and Aquaculture, Irrigation, Land and Soil Management"
23212910,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213098,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213291,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213479,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213672,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Freight Vehicles, Infrastructure and Roads, Rail, Road Sector"
23213860,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_transport","Transport","Aviation, Freight Vehicles, Infrastructure and Roads, Rail, Road Sector"
23214053,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214241,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214434,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214622,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214815,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Gas, Gas Flaring, Power System Planning, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Solar: Off-Grid, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215003,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Gas, Gas Flaring, Power System Planning, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Solar: Off-Grid, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215196,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215384,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215577,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_industries","Industries","Air Conditioners and Refrigerators, HFCs, Industries: General"
23215765,"CAIT","NGA","Nigeria","Mitigation","",NA,NA,"m_industries","Industries","Air Conditioners and Refrigerators, HFCs, Industries: General"
