"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207580,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207769,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207961,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_urban","Urban","Buildings, Waste Management"
23208150,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_urban","Urban","Buildings, Waste Management"
23208342,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208531,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208723,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208912,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209104,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209293,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209485,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209674,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209866,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210055,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210247,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210436,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210628,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210817,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211009,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211198,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211390,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211579,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211771,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services, Landscape Management"
23211960,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services, Landscape Management"
23212152,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212340,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212532,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212719,"CAIT","NIU","Niue","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212911,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213100,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213292,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213481,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213673,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Transportation Fuels"
23213862,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Transportation Fuels"
23214054,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214243,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214435,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214624,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214816,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Demand-Side Efficiency: Appliances, Energy Efficiency, Energy: General, Renewable Energy"
23215005,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Demand-Side Efficiency: Appliances, Energy Efficiency, Energy: General, Renewable Energy"
23215197,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215386,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215578,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215767,"CAIT","NIU","Niue","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215958,"CAIT","NIU","Niue","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared primarily using pre-existing national policy documents, and sector policies and plans to ensure accurate reflection of national development priorities, with pre-existing stakeholder support. The INDC was reviewed by key ministry representatives and formally approved by Cabinet.""</p>"
23216146,"CAIT","NIU","Niue","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared primarily using pre-existing national policy documents, and sector policies and plans to ensure accurate reflection of national development priorities, with pre-existing stakeholder support. The INDC was reviewed by key ministry representatives and formally approved by Cabinet.""</p>"
23216389,"CAIT","NIU","Niue","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216532,"CAIT","NIU","Niue","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216725,"CAIT","NIU","Niue","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216867,"CAIT","NIU","Niue","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217060,"CAIT","NIU","Niue","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
