"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207581,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207770,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207962,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208151,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208343,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208532,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208724,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208913,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209105,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209294,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209486,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209675,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209867,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210056,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210248,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210437,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210629,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210818,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211010,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211199,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211391,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211580,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211772,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211961,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212153,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212341,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212533,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212720,"CAIT","NLD","Netherlands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212912,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213101,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213293,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213482,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213674,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213863,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214055,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214244,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214436,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214625,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214817,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215006,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215198,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215387,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215579,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215768,"CAIT","NLD","Netherlands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215959,"CAIT","NLD","Netherlands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216147,"CAIT","NLD","Netherlands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216253,"CAIT","NLD","Netherlands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The enhanced target is based on an extensive impact assessment, as well as stakeholder input, collected via public consultation."""
23217389,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217522,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217600,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","""Under Regulation (EU) 2018/841 on the inclusion and accounting of greenhouse gas emissions and removals from land use, land use change and forestry in the EU framework, for the periods from 2021 to 2025 and from 2026 to 2030, each Member State shall ensure that emissions do not exceed removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories combined, as accounted in accordance with this Regulation."""
23217712,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217839,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217918,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","""Member States may use provision for natural disturbances on afforested land and managed forest land as set out in Art 10 and Annex VI of Regulation (EU) 2018/841."""
23218035,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218161,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218240,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218357,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218484,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218564,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","""Afforested Land and Deforested Land use baseline zero (gross-net accounting). Managed Grassland, Managed Cropland and Managed Wetland use as baseline the average emissions between 2005 and 2009 (net-net accounting). Managed Forest Land uses as baseline a Forest Reference Level based on continuation of Forest Management Practices between 2000 and 2009 and taking into account the age-class structure of forests, projected through the compliance period. The mere presence of carbon stocks is excluded from accounting."""
23218681,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Comprehensive accounting framework, activity or land-based approach, for emissions and removals from land use, land-use change and forestry. "
23218807,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Comprehensive accounting framework, activity or land-based approach, for emissions and removals from land use, land-use change and forestry. "
23218886,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","""The EU’s LULUCF policy framework builds on IPCC guidance, TACCC principles and existing accounting rules, updating and improving them for the period from 2021 to 2030. The policy framework identifies net accounted emissions and removals, contributing to the aim of enhancing the EU’s net land sinks in the long-term.""<br>""Approach used to account for emissions and removals from harvested wood products: The EU uses the Production Approach as defined in IPCC Guidelines; see also Art 9 and Annex V of Regulation (EU) 2018/841."""
23219003,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<ul> <li>""Afforestation, reforestation</li> <li>Deforestation</li> <li>Forest management</li> <li>Cropland management</li> <li>Grazing land management</li> <li>Or equivalent land-based accounting using UNFCCC reporting categories</li> <li>Other categories/activities elected by the EU and its Member States as Parties to the Kyoto Protocol and its Doha Amendment.""</li> </ul>"
23219129,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<ul> <li>""Afforestation, reforestation</li> <li>Deforestation</li> <li>Forest management</li> <li>Cropland management</li> <li>Grazing land management</li> <li>Or equivalent land-based accounting using UNFCCC reporting categories</li> <li>Other categories/activities elected by the EU and its Member States as Parties to the Kyoto Protocol and its Doha Amendment.""</li> </ul>"
23219208,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","""LULUCF Categories: Emissions and removals occurring on reported categories of forest land, cropland, grassland, and wetland, including land use change between these categories, and between these categories and settlements and other land. LULUCF Pools: Above-ground biomass; Below-ground biomass; Litter; Dead wood; Soil organic carbon; Harvested wood products."""
23219363,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not Specified. ""Policy on how to include Land Use, Land Use Change and Forestry into the 2030 greenhouse gas mitigation framework will be established as soon as technical conditions allow and in any case before 2020."""
23219535,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not Specified. ""Policy on how to include Land Use, Land Use Change and Forestry into the 2030 greenhouse gas mitigation framework will be established as soon as technical conditions allow and in any case before 2020."""
23219633,"CAIT","NLD","Netherlands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included as part of the broader target"
23219801,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23219989,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23220096,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","""The EU’s at least 55% net reduction target by 2030 is to be achieved through domestic measures only, without contribution from international credits. """
23221340,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Global Warming Potential on a 100 year timescale in accordance with the IPCC's 4th Assessment Report"
23221529,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Global Warming Potential on a 100 year timescale in accordance with the IPCC's 4th Assessment Report"
23221636,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Global Warming Potential on a 100 timescale in accordance with IPCC’s 5th Assessment Report"
23221804,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","IPCC Guidelines 2006 and IPCC 2013 KP Supplement."
23221993,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","IPCC Guidelines 2006 and IPCC 2013 KP Supplement."
23222100,"CAIT","NLD","Netherlands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","IPCC Guidelines 2006"
23222268,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% national emissions covered"
23222456,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% national emissions covered"
23222561,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% national emissions covered"
23222733,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Energy, Industrial processes and product use, Agriculture, Waste, Land Use, Land-Use Change and Forestry (set out in <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32013D0529"" target=""_blank"">Decision 529/2013/EU</a>)"
23222922,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Energy, Industrial processes and product use, Agriculture, Waste, Land Use, Land-Use Change and Forestry (set out in <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32013D0529"" target=""_blank"">Decision 529/2013/EU</a>)"
23223028,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Energy, Industrial processes and product use, Agriculture, Waste, Land Use, Land Use Change and Forestry"
23223199,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","All greenhouse gases not controlled by the Montreal Protocol: Carbon Dioxide (CO<sub>2</sub>), Methane (CH<sub>4</sub>), Nitrous Oxide (N<sub>2</sub>O), Hydrofluorocarbons (HFCs), Perfluorocarbons (PFCs), Sulphur hexafluoride (SF<sub>6</sub>), Nitrogen trifluoride (NF<sub>3</sub>)"
23223387,"CAIT","NLD","Netherlands","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","All greenhouse gases not controlled by the Montreal Protocol: Carbon Dioxide (CO<sub>2</sub>), Methane (CH<sub>4</sub>), Nitrous Oxide (N<sub>2</sub>O), Hydrofluorocarbons (HFCs), Perfluorocarbons (PFCs), Sulphur hexafluoride (SF<sub>6</sub>), Nitrogen trifluoride (NF<sub>3</sub>)"
