"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207583,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse"
23207772,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse"
23207964,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208153,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208345,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208534,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208726,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208915,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209107,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209296,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209488,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209677,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209869,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210058,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210250,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Sustainable Forest Management"
23210439,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Sustainable Forest Management"
23210631,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210820,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211012,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211201,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211393,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211582,"CAIT","NPL","Nepal","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
