"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207586,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207775,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207967,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208156,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208348,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208537,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208729,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208918,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209110,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209299,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209491,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209680,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209872,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210061,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210253,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210442,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210634,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_energy","Energy","Energy Access"
23210823,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_energy","Energy","Energy Access"
23211015,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211204,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211396,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211585,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211777,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Climate Risk Management"
23211966,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Climate Risk Management"
23212158,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management, Sea-level Rise Protection"
23212346,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management, Sea-level Rise Protection"
23212538,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security, Land and Soil Management"
23212725,"CAIT","OMN","Oman","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security, Land and Soil Management"
23212917,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213106,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213298,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213487,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213679,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213868,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214060,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214249,"CAIT","OMN","Oman","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
