"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207590,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207971,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208352,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208733,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209114,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209495,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209876,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210257,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210638,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211019,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211400,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211781,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Climate Risk Management, Climate Services"
23212162,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212542,"CAIT","PHL","Philippines","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture"
23212921,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213302,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213683,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214064,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214445,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214826,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215207,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215588,"CAIT","PHL","Philippines","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215968,"CAIT","PHL","Philippines","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The Planning for the Philippine INDC is consistent with the Philippine Development Plan, the National Framework Strategy on Climate Change, the National Climate Change Action Plan and the National Disaster Risk Reduction and Management Plan. These plans and the INDC were developed through exhaustive, inclusive and participatory processes.</p> <ul> <li>Consultations on the preparation of the INDCs were organized and conducted with relevant government agencies including the Office of the President, the Senate and House of Representatives.</li> <li>Internationally accepted tools and methodologies were used by government agencies to identify possible mitigation options as input to the INDC.</li> <li>Consultations were also conducted with the civil society and the relevant business sectors.""</li> </ul>"
23216285,"CAIT","PHL","Philippines","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""Developed through a whole-of-government-and-society approach, the Philippines’ NDC upholds the importance of meaningful participation of women, children, youth, persons with diverse sexual orientation and gender identity, differently abled, indigenous peoples, elderly, local communities, civil society, faith-based organizations, and the private sector, and recognizes the indispensable value of inclusion and collaborative participation of local governments in implementing climate actions."""
23216398,"CAIT","PHL","Philippines","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216623,"CAIT","PHL","Philippines","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216734,"CAIT","PHL","Philippines","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified "
23216958,"CAIT","PHL","Philippines","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217069,"CAIT","PHL","Philippines","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
