"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207593,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207781,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207974,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208162,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208355,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208543,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208736,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208924,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209117,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209305,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209498,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209686,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209879,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210067,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210260,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210448,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210641,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210829,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211022,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211210,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211403,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211591,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211784,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211972,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212165,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212352,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212545,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212731,"CAIT","POL","Poland","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212924,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213112,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213305,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213493,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213686,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213874,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214067,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214255,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214448,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214636,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214829,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215017,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215210,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215398,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215591,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215779,"CAIT","POL","Poland","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215971,"CAIT","POL","Poland","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216158,"CAIT","POL","Poland","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
23216254,"CAIT","POL","Poland","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The enhanced target is based on an extensive impact assessment, as well as stakeholder input, collected via public consultation."""
23217397,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217529,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217601,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","""Under Regulation (EU) 2018/841 on the inclusion and accounting of greenhouse gas emissions and removals from land use, land use change and forestry in the EU framework, for the periods from 2021 to 2025 and from 2026 to 2030, each Member State shall ensure that emissions do not exceed removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories combined, as accounted in accordance with this Regulation."""
23217720,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217846,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217919,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","""Member States may use provision for natural disturbances on afforested land and managed forest land as set out in Art 10 and Annex VI of Regulation (EU) 2018/841."""
23218043,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218168,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218241,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218366,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218492,"CAIT","POL","Poland","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
