"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207598,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207787,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207979,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208168,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208360,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208549,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208741,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208930,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209122,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209311,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209503,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209692,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209884,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210073,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210265,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210454,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210646,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210835,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211027,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211216,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211408,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211597,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211789,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211978,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212170,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212358,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212550,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212737,"CAIT","ROU","Romania","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212929,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213118,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213310,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213499,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213691,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213880,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214072,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214261,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214453,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214642,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214834,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215023,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215215,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215404,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215596,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215785,"CAIT","ROU","Romania","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215976,"CAIT","ROU","Romania","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Domestic legally-binding legislation already in place for the 2020 climate and energy package. The existing legislation for land use, land-use change and forestry (EU Decision 529/2013) is based on the existing accounting rules under the second commitment period of the Kyoto Protocol. Legislative proposals to implement the 2030 climate and energy framework, both in the emissions trading sector and in the non-traded sector, to be submitted by the European Commission to the Council and European Parliament in 2015-2016 on the basis of the general political directions by the European Council, taking into account environmental integrity."
