"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207601,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Supply"
23207789,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Supply"
23207982,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208170,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208363,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_transport","Transport","Sustainable Transport Planning"
23208551,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_transport","Transport","Sustainable Transport Planning"
23208744,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208932,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209125,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209313,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209506,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209694,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209887,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210075,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210268,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210456,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210649,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210837,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211030,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211218,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211411,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211599,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211792,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211980,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212173,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212360,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212553,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212739,"CAIT","SAU","Saudi Arabia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212932,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213120,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213313,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213501,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213694,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213882,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214075,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214263,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214456,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214644,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214837,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_energy","Energy","CCS, Demand-Side Efficiency: Buildings, Gas, Gas Flaring, Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle"
23215025,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_energy","Energy","CCS, Demand-Side Efficiency: Buildings, Gas, Gas Flaring, Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle"
23215218,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215406,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215599,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215787,"CAIT","SAU","Saudi Arabia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215979,"CAIT","SAU","Saudi Arabia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>Monitoring and reporting progress on INDC implementation at the national level</p> <p>""The Kingdom of Saudi Arabia acknowledges that a monitoring, reporting and verification (MRV) system forms an essential part of its national arrangements for ensuring the successful delivery of its economic diversification and adaptation measures with mitigation co-benefits. The Kingdom&rsquo;s MRV system for INDC will be an integral part of the existing and future monitoring and reporting structures under the oversight of its Designated National Authority. The MRV system will be deployed to track progress towards achieving INDC actions and projects and any modifications thereof.""</p>"
