"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207605,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207792,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207986,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208173,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208367,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208554,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208748,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208935,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209129,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209316,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209510,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209697,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209891,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210078,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210272,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210459,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210653,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210840,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211034,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211221,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211415,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211602,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211796,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211983,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212177,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212363,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212557,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212742,"CAIT","SLB","Solomon Islands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212936,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213123,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213317,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213504,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213698,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213885,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214079,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214266,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214460,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214647,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214841,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy: Geothermal, Renewable Energy: Hydro, Renewable Energy: Solar"
23215028,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy: Geothermal, Renewable Energy: Hydro, Renewable Energy: Solar"
23215222,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215409,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215603,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215790,"CAIT","SLB","Solomon Islands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215983,"CAIT","SLB","Solomon Islands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216169,"CAIT","SLB","Solomon Islands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216407,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216550,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216743,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216885,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217078,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217220,"CAIT","SLB","Solomon Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217406,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217537,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217729,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217854,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23218052,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218176,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218375,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218500,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218698,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","<p>""Appropriate methodologies drawn from international best practice to quantify sequestration from above 400m contour and forest plantations.""</p>"
23218822,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","<p>""Appropriate methodologies drawn from international best practice to quantify sequestration from above 400m contour and forest plantations.""</p>"
23219020,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219144,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219384,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219554,"CAIT","SLB","Solomon Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219825,"CAIT","SLB","Solomon Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220011,"CAIT","SLB","Solomon Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220182,"CAIT","SLB","Solomon Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified"
