"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207606,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207793,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207987,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208174,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208368,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208555,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208749,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208936,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209130,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_social_development","Social Development","Safety Net"
23209317,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_social_development","Social Development","Safety Net"
23209511,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209698,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209892,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210079,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_health","Health","Health: General"
23210273,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210460,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210654,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210841,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211035,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211222,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211416,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211603,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211797,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211984,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212178,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries"
23212364,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries"
23212558,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_agriculture","Agriculture","Land and Soil Management"
23212743,"CAIT","SLE","Sierra Leone","Adaptation","",NA,NA,"a_agriculture","Agriculture","Land and Soil Management"
23212937,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agricultural Waste"
23213124,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agricultural Waste"
23213318,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213505,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213699,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Transport: General, Vehicle Fleet"
23213886,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Transport: General, Vehicle Fleet"
23214080,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214267,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214461,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214648,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214842,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Energy Efficiency, Energy: General, Renewable Energy"
23215029,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Energy Efficiency, Energy: General, Renewable Energy"
23215223,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_waste","Waste","Recycling, Reuse, Reduce, Waste: General, Waste-to-Energy"
23215410,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_waste","Waste","Recycling, Reuse, Reduce, Waste: General, Waste-to-Energy"
23215604,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215791,"CAIT","SLE","Sierra Leone","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215984,"CAIT","SLE","Sierra Leone","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Sierra Leone's planning process on mitigation and adaptation hinges on the NCCP, NCCS&AP and the NAPA. The result shall be reviewed every five years to inform the Medium Term Plan. The adaptation and mitigation actions will further amplified in the NAP and NAMA which Sierra Leone hopes to develop.</p> <p>The planning process also takes cognizance of the absence of a Climate Change law that may propose several institutional reforms to enhance coordination of climate change adaptation and mitigation. These reforms may include:</p> <ul> <li>Review, revise the already adopted (by cabinet concurrence) current Draft Climate Policy into a comprehensive Climate Act;</li> <li>Establish the enabling legislative framework to implement the NCCS&AP actions:</li> <li>Establish and/or strengthen the high-level National Climate Change Council (NCCC), in the Office of the President; and</li> <li>Support the already established National Climate Change Secretariat as the primary national government agency for climate change response.</li> <li>Establish a Sierra Leone Climate Fund to be a financing mechanism for priority climate change actions and interventions.""</li> </ul>"
