"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207612,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207798,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207993,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208179,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208374,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208560,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208755,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208941,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209136,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209322,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209517,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General"
23209703,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General"
23209898,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210084,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210279,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210465,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210660,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210846,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211041,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211227,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211422,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery"
23211608,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery"
23211803,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211989,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212184,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212369,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212564,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Fisheries and Aquaculture, Land and Soil Management, Livestock"
23212748,"CAIT","STP","Sao Tome and Principe","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Fisheries and Aquaculture, Land and Soil Management, Livestock"
23212943,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213129,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213324,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213510,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213705,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213891,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214086,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214272,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214467,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214653,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214848,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy: Hydro, Renewable Energy: Solar"
23215034,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy: Hydro, Renewable Energy: Solar"
23215229,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215415,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215610,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215796,"CAIT","STP","Sao Tome and Principe","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215990,"CAIT","STP","Sao Tome and Principe","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>Institutional Arrangements</p><p>""Apart from the legal framework referred to in the National Circumstances, for the analysis of mitigation, it took into account the Kyoto Protocol, ratified on May 19, 2008, by Presidential Decree No. 9/2008 and the Legal Regime of the Energy Sector created by Decree- law No. 26/2014.""</p><p>Monitoring and Progress Report</p> <p>""The country elaborated a Monitoring and Progress Report System proposal (MPR) to (INDC) according to the needs, complying with international requirements of the monitoring activities and progress of certain national contributions to adaptation and mitigation.""</p>"
23216175,"CAIT","STP","Sao Tome and Principe","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>Institutional Arrangements</p><p>""Apart from the legal framework referred to in the National Circumstances, for the analysis of mitigation, it took into account the Kyoto Protocol, ratified on May 19, 2008, by Presidential Decree No. 9/2008 and the Legal Regime of the Energy Sector created by Decree- law No. 26/2014.""</p><p>Monitoring and Progress Report</p> <p>""The country elaborated a Monitoring and Progress Report System proposal (MPR) to (INDC) according to the needs, complying with international requirements of the monitoring activities and progress of certain national contributions to adaptation and mitigation.""</p>"
23216414,"CAIT","STP","Sao Tome and Principe","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""According to the Marrakesh Call for Climate Action, agreed at the Ministerial Dialogue of the Seventh African Forum of Carbon, in April 2015, Sao Tome and Principe recognizes the experience gained from the implementation of the Clean Development Mechanism and want to be supported by market mechanisms with high environmental integrity, contributing to sustainable development and establishing strong incentives to harness the power of private sector.""</p>"
