"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207614,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207800,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207995,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208181,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208376,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208562,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208757,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208943,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209138,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209324,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209519,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209705,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209900,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210086,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210281,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210467,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210662,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210848,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211043,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211229,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211424,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211610,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211805,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211991,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212186,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212371,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212566,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212750,"CAIT","SVK","Slovakia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212945,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213131,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213326,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213512,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213707,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213893,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214088,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214274,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214469,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214655,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214850,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215036,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215231,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215417,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215612,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215798,"CAIT","SVK","Slovakia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
