"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207618,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207804,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207999,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Waste Management"
23208185,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Waste Management"
23208380,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208566,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208761,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208947,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209142,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209328,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209523,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209709,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209904,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210090,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210285,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210471,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210666,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_energy","Energy","Energy Efficiency, Energy Efficiency, Energy: General, Renewable Energy"
23210852,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_energy","Energy","Energy Efficiency, Energy Efficiency, Energy: General, Renewable Energy"
23211047,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211233,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211428,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Risk Management (DRM): General"
23211614,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Risk Management (DRM): General"
23211809,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23211995,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212190,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212375,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212570,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212754,"CAIT","SYC","Seychelles","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212949,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213135,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213330,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213516,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213711,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Transportation Fuels"
23213897,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Transportation Fuels"
23214092,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214278,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214473,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214659,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214854,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Energy Efficiency, Energy Efficiency, Energy: General, Renewable Energy, Renewable Energy"
23215040,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Energy Efficiency, Energy Efficiency, Energy: General, Renewable Energy, Renewable Energy"
23215235,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215421,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215616,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215802,"CAIT","SYC","Seychelles","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
