"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207805,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_water","Water","Water: General, Water conservation and reuse"
23208186,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208567,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208948,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209329,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty reduction"
23209710,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Land Management, LULUCF/Forestry: General"
23210091,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_health","Health","Awareness raising and behavior change"
23210472,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and biodiversity"
23210853,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211234,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211615,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early warning system"
23211996,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212376,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Zone: General"
23212755,"CAIT","SYR","Syria","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation, Climate smart agriculture"
23213136,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Agricultural Waste, Soils, Fertilizers, Livestock"
23213517,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings: General"
23213898,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Transportation Planning, Rail, Transportation Fuels, Vehicle Fleet"
23214279,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management, LULUCF/Forestry: General"
23214660,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23215041,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy"
23215422,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_waste","Waste","Wastewater, Waste-to-Energy, Recycling, reuse, reduce, Waste: General"
23215803,"CAIT","SYR","Syria","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23216894,"CAIT","SYR","Syria","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217229,"CAIT","SYR","Syria","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23220024,"CAIT","SYR","Syria","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
