"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207623,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_water","Water","Water Infrastructure, Water Quality"
23207810,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_water","Water","Water Infrastructure, Water Quality"
23208004,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208191,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208385,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208572,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208766,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208953,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209147,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209334,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209528,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209715,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209909,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210096,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210290,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210477,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210671,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210858,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211052,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211239,"CAIT","TKM","Turkmenistan","Adaptation","",NA,NA,"a_education","Education","No specified measure"
