"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207625,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207812,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23208006,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208193,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208387,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208574,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208768,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208955,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209149,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209336,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209530,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Reforestation, Sustainable Forest Management, Sustainable Land Management"
23209717,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Reforestation, Sustainable Forest Management, Sustainable Land Management"
23209911,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210098,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210292,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210479,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210673,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210860,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211054,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211241,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211435,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Risk Management (DRM): General"
23211622,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Risk Management (DRM): General"
23211816,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212003,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212197,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection"
23212383,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection"
23212577,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroforestry, Climate Smart Agriculture"
23212762,"CAIT","TON","Tonga","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroforestry, Climate Smart Agriculture"
23212956,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213143,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213337,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213524,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213718,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_transport","Transport","Transportation Fuels, Vehicle Fleet"
23213905,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_transport","Transport","Transportation Fuels, Vehicle Fleet"
23214099,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214286,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214480,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214667,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214861,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Energy: General, Mini-Grids, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Geothermal, Renewable Energy: Solar, Renewable Energy: Solar: Off-Grid, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215048,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Energy: General, Mini-Grids, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Geothermal, Renewable Energy: Solar, Renewable Energy: Solar: Off-Grid, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215242,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy"
23215429,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy"
23215623,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215810,"CAIT","TON","Tonga","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23216003,"CAIT","TON","Tonga","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared primarily using pre-existing national policy documents, and sector policies and plans to ensure accurate reflection of national development priorities, with pre-existing stakeholder support.</p> <p>The INDC was reviewed by Tonga&rsquo;s Climate Change Technical Group, including representation of all key relevant agencies/Government Ministries, before formal Cabinet endorsement.""</p> <p>Stakeholder Engagement</p> <p>""In preparation for COP21, Tonga has agreed to table its INDC under the TSDF framework where key stakeholder engagements at local, regional and national level, to the climate change are facilitated by the TSDF institutional arrangements for monitoring and evaluation on an annual basis.</p> <p>In light of this IDNC, in partnership with economy wide counterparts, MEIDECC will host a broader set of stakeholder consultations post COP 21 after December 2015. The consultations will provide an opportunity to discuss Tonga&rsquo;s position, fill gaps and build a common understanding and approach towards the agreed Paris COP21 and Tonga&rsquo;s INDC. These stakeholder engagements will provide an opportunity to raise awareness, mobilize, inform and engage with key stakeholder groups and the general public around climate change issues, and climate change approach and response efforts at all levels.""</p>"
23216188,"CAIT","TON","Tonga","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared primarily using pre-existing national policy documents, and sector policies and plans to ensure accurate reflection of national development priorities, with pre-existing stakeholder support.</p> <p>The INDC was reviewed by Tonga&rsquo;s Climate Change Technical Group, including representation of all key relevant agencies/Government Ministries, before formal Cabinet endorsement.""</p> <p>Stakeholder Engagement</p> <p>""In preparation for COP21, Tonga has agreed to table its INDC under the TSDF framework where key stakeholder engagements at local, regional and national level, to the climate change are facilitated by the TSDF institutional arrangements for monitoring and evaluation on an annual basis.</p> <p>In light of this IDNC, in partnership with economy wide counterparts, MEIDECC will host a broader set of stakeholder consultations post COP 21 after December 2015. The consultations will provide an opportunity to discuss Tonga&rsquo;s position, fill gaps and build a common understanding and approach towards the agreed Paris COP21 and Tonga&rsquo;s INDC. These stakeholder engagements will provide an opportunity to raise awareness, mobilize, inform and engage with key stakeholder groups and the general public around climate change issues, and climate change approach and response efforts at all levels.""</p>"
23216226,"CAIT","TON","Tonga","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The Department of Climate Change was responsible for developing Tonga’s 2020 NDC. As part of this process, the Department of Climate Change took a coordinating role in gathering input from stakeholders, both for evaluating progress on the 2015 INDC and designing the 2020 NDC. Stakeholders included government officials, technical experts, and representatives of civil society. In addition, the targets and measures put forward in Tonga’s 2020 NDC have been informed by academic studies, policies, strategies, and roadmaps. The contents of the 2020 NDC were agreed across ministries and departments and approved by the cabinet.""<br>See 4. Planning Processes in ""A1. Information to facilitate clarity, transparency and understanding of Tonga’s 2020 NDC"" in the original text for more information."
23216423,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216565,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216759,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216901,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217094,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217236,"CAIT","TON","Tonga","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217574,"CAIT","TON","Tonga","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","""Tonga strives to report anthropogenic emissions or removals from AFOLU, following the 2006 Intergovernmental Panel on Climate Change Guidelines for National Greenhouse Gas Inventories, and the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, using the tier 1 approach and applying default emission factors."""
