"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207630,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Supply"
23207816,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Supply"
23208011,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208197,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208392,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208578,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208773,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208959,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209154,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_social_development","Social Development","Safety Net"
23209340,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_social_development","Social Development","Safety Net"
23209535,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209721,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209916,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210102,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210297,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210483,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210678,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_energy","Energy","Energy Efficiency, Energy: General, Gas"
23210864,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_energy","Energy","Energy Efficiency, Energy: General, Gas"
23211059,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211245,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211440,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211626,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211821,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212007,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212202,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves, Sea-level Rise Protection"
23212387,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves, Sea-level Rise Protection"
23212582,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Fisheries and Aquaculture, Irrigation, Land and Soil Management, Livestock"
23212766,"CAIT","TZA","Tanzania","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Fisheries and Aquaculture, Irrigation, Land and Soil Management, Livestock"
23212961,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213147,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213342,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213528,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213723,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Transport: General"
23213909,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Transport: General"
23214104,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, REDD+"
23214290,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, REDD+"
23214485,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214671,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214866,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Energy Efficiency, Energy: General, Gas"
23215052,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency, Energy Efficiency, Energy: General, Gas"
23215247,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_waste","Waste","Waste: General, Waste-to-Energy"
23215433,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_waste","Waste","Waste: General, Waste-to-Energy"
23215628,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215814,"CAIT","TZA","Tanzania","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23216008,"CAIT","TZA","Tanzania","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDCs were prepared in a consultative and inclusive manner through technical and policy dialogues. A national technical team was established, with representatives from various sectors and relevant institutions. Broad based national and sub-national stakeholders&rsquo; consultative workshops were held during the process. The consultations brought together Civil Society Organizations (CSOs), Academic and Research institutions, the Private sector, and government institutions from across the country.</p> <p>National policies, legislations, strategies, programmes and action plans together with UNFCCC decisions guided the preparation of these INDCs. Priority sectors on both adaptation and mitigation were identified through a review of various climate change and economic development relevant documents.&rdquo;</p> <p>Planning process</p> <p>""The INDCs are in line with the Tanzania Development Vision (2025), Zanzibar Vision (2020), Tanzania Five Year Development Plan (2011/12-2015/16), and are anchored in the National Climate Change Strategy (2012) and the Zanzibar Climate Change Strategy (2014).""</p> <p>Review processes</p> <p>""The implementation of INDCs is based on the country&rsquo;s various policies, development vision programmes, strategies and action plans, which are set to be reviewed regularly. Therefore, the submitted INDCs will be reviewed in a participatory manner to reflect the emerging needs, changes and decisions, particularly the outcome of the 21st Conference of the Parties (COP 21) of the United Nations Framework Convention on Climate Change, December 2015.""</p>"
23216192,"CAIT","TZA","Tanzania","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDCs were prepared in a consultative and inclusive manner through technical and policy dialogues. A national technical team was established, with representatives from various sectors and relevant institutions. Broad based national and sub-national stakeholders&rsquo; consultative workshops were held during the process. The consultations brought together Civil Society Organizations (CSOs), Academic and Research institutions, the Private sector, and government institutions from across the country.</p> <p>National policies, legislations, strategies, programmes and action plans together with UNFCCC decisions guided the preparation of these INDCs. Priority sectors on both adaptation and mitigation were identified through a review of various climate change and economic development relevant documents.&rdquo;</p> <p>Planning process</p> <p>""The INDCs are in line with the Tanzania Development Vision (2025), Zanzibar Vision (2020), Tanzania Five Year Development Plan (2011/12-2015/16), and are anchored in the National Climate Change Strategy (2012) and the Zanzibar Climate Change Strategy (2014).""</p> <p>Review processes</p> <p>""The implementation of INDCs is based on the country&rsquo;s various policies, development vision programmes, strategies and action plans, which are set to be reviewed regularly. Therefore, the submitted INDCs will be reviewed in a participatory manner to reflect the emerging needs, changes and decisions, particularly the outcome of the 21st Conference of the Parties (COP 21) of the United Nations Framework Convention on Climate Change, December 2015.""</p>"
23216427,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216568,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216763,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216904,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217098,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217239,"CAIT","TZA","Tanzania","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217422,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217551,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217743,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217866,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23218066,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218188,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218389,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218512,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218712,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218834,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23219034,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219156,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219405,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219574,"CAIT","TZA","Tanzania","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219850,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23220035,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23220373,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220440,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220546,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified"
23220621,"CAIT","TZA","Tanzania","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified"
