"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207632,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207818,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23208013,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208199,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208394,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208580,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208775,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208961,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209156,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209342,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209537,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209723,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209918,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210104,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210299,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210485,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210680,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210866,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211061,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211247,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211442,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211628,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211823,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212009,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212204,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212389,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212584,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212768,"CAIT","UKR","Ukraine","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212963,"CAIT","UKR","Ukraine","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213149,"CAIT","UKR","Ukraine","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
