"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207635,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Quality"
23207821,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Quality"
23208016,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208202,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208397,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208583,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208778,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208964,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209159,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction, Road Sector"
23209345,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction, Road Sector"
23209540,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Afforestation, Poverty Reduction"
23209726,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Afforestation, Poverty Reduction"
23209921,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Health Services and Assessment, Afforestation"
23210107,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Health Services and Assessment, Afforestation"
23210302,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210488,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210683,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210869,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211064,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211250,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211445,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery, Demand-Side Efficiency: Buildings"
23211631,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery, Demand-Side Efficiency: Buildings"
23211826,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212012,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212207,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212392,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212587,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Land and Soil Management, Capacity Building and Knowledge Transfer"
23212771,"CAIT","UZB","Uzbekistan","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Land and Soil Management, Capacity Building and Knowledge Transfer"
23212966,"CAIT","UZB","Uzbekistan","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213152,"CAIT","UZB","Uzbekistan","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213347,"CAIT","UZB","Uzbekistan","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213533,"CAIT","UZB","Uzbekistan","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
