"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207637,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207823,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_water","Water","Water Management"
23208018,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208204,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208399,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208585,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208780,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208966,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209161,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209347,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209542,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209728,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209923,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210109,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210304,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210490,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210685,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy"
23210871,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy"
23211066,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211252,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211447,"CAIT","VEN","Venezuela","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Risk Management (DRM): General"
