"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207641,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse"
23208022,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208403,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208784,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209165,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209546,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209927,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210308,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210689,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy"
23211070,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211451,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System, Monitoring and Evaluation System"
23211832,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services, Landscape Management"
23212213,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212593,"CAIT","YEM","Yemen","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Livestock"
23212972,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Climate Smart Agriculture"
23213353,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213734,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214115,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214496,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214877,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Gas-to-Power, Renewable Energy, Renewable Energy, Renewable Energy: Geothermal, Renewable Energy: Solar, Renewable Energy: Solar: Off-Grid, Renewable Energy: Waste-to-Energy, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching"
23215258,"CAIT","YEM","Yemen","Mitigation","",NA,NA,"m_waste","Waste","Waste-to-Energy, Wastewater"
