"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207610,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207797,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207991,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208178,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208372,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208559,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208753,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208940,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209134,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209321,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209515,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209702,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209896,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210083,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210277,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210464,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210658,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210845,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211039,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211226,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211420,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211607,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211801,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211988,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212182,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212368,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212562,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212747,"CAIT","SRB","Serbia","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212941,"CAIT","SRB","Serbia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213128,"CAIT","SRB","Serbia","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213322,"CAIT","SRB","Serbia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
