"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207620,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management, Water Supply"
23207807,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Management, Water Supply"
23208001,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Waste Management"
23208188,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Waste Management"
23208382,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208569,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208763,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208950,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209144,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209331,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209525,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209712,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation, Reforestation"
23209906,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210093,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210287,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210474,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210668,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_energy","Energy","Energy Access, Energy Efficiency, Energy Efficiency, Energy: General, Mini-Grids, Renewable Energy"
23210855,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_energy","Energy","Energy Access, Energy Efficiency, Energy Efficiency, Energy: General, Mini-Grids, Renewable Energy"
23211049,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211236,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211430,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211617,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211811,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211998,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212192,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212378,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212572,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Climate Smart Agriculture, Climate Smart Agriculture, Crops, Food Security, Irrigation, Land and Soil Management"
23212757,"CAIT","TGO","Togo","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Climate Smart Agriculture, Climate Smart Agriculture, Crops, Food Security, Irrigation, Land and Soil Management"
23212951,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Agroecology, Climate Smart Agriculture"
23213138,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General, Agroecology, Climate Smart Agriculture"
23213332,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213519,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213713,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_transport","Transport","Non-Motorized Transport, Road Sector, Transport: General, Urban Transport, Vehicle Fleet"
23213900,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_transport","Transport","Non-Motorized Transport, Road Sector, Transport: General, Urban Transport, Vehicle Fleet"
23214094,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, Reforestation"
23214281,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, Reforestation"
23214475,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214662,"CAIT","TGO","Togo","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
