"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207621,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207808,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_water","Water","Water Management"
23208002,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208189,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208383,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208570,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208764,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208951,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209145,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209332,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209526,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209713,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209907,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210094,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210288,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210475,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210669,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210856,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211050,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211237,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211431,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211618,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211812,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23211999,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212193,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212379,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212573,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212758,"CAIT","THA","Thailand","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212952,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213139,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213333,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213520,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213714,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23213901,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23214095,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23214282,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23214476,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214663,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214857,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215044,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215238,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215425,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215619,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_industries","Industries","Chemicals, Industries: General"
23215806,"CAIT","THA","Thailand","Mitigation","",NA,NA,"m_industries","Industries","Chemicals, Industries: General"
23215999,"CAIT","THA","Thailand","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Thailand's INDC was developed through participatory process. Stakeholder consultations were conducted through the establishment of an inter-ministerial working group and steering committee comprising representatives from relevant sectoral agencies, academia and private sector. In addition, three national consultations were held during the technical analysis phase. Thailand's INDC was formulated based on the following plans already approved or in the pipeline for approval by the Cabinet:</p> <ul> <li>National Economic and Social Development Plans</li> <li>Climate Change Master Plan B.E. 2558-2593 (2015-2050)</li> <li>Power Development Plan B.E. 2558-2579 (2015-2036)</li> <li>Thailand Smart Grid Development Master Plan B.E. 2558- 2579 (2015-2036)</li> <li>Energy Efficiency Plan B.E. 2558-2579 (2015-2036)</li> <li>Alternative Energy Development Plan B.E. 2558-2579 (2015- 2036)</li> <li>Environmentally Sustainable Transport System Plan B.E. 2556-2573 (2013-2030)</li> <li>National Industrial Development Master Plan B.E. 2555-2574 (2012-2031)</li> <li>Waste Management Roadmap""</li> </ul>"
