"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207624,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Quality, Water Supply"
23207811,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Quality, Water Supply"
23208005,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208192,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208386,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208573,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208767,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208954,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209148,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209335,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209529,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Land Management"
23209716,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Land Management"
23209910,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment, Land Degradation"
23210097,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment, Land Degradation"
23210291,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Health Services and Assessment"
23210478,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Health Services and Assessment"
23210672,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210859,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211053,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211240,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211434,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Clean Cooking and Heating: Cleaner Household Fuels"
23211621,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Clean Cooking and Heating: Cleaner Household Fuels"
23211815,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23212002,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23212196,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212382,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212576,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212761,"CAIT","TLS","Timor-Leste","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Food Security, Land and Soil Management, Sea-level Rise Protection, Capacity Building and Knowledge Transfer"
23212955,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agricultural Waste, Agroforestry"
23213142,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agricultural Waste, Agroforestry"
23213336,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213523,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213717,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_transport","Transport","Vehicle Fleet, Solid Waste, Water Conservation and Reuse"
23213904,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_transport","Transport","Vehicle Fleet, Solid Waste, Water Conservation and Reuse"
23214098,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Land Management, Sustainable Land Management, Infrastructure and Roads, Vehicle Fleet"
23214285,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Land Management, Sustainable Land Management, Infrastructure and Roads, Vehicle Fleet"
23214479,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214666,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214860,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Ecosystem and Biodiversity, Health Services and Assessment"
23215047,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Ecosystem and Biodiversity, Health Services and Assessment"
23215241,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste"
23215428,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_waste","Waste","Solid Waste"
23215622,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_industries","Industries","HFCs"
23215809,"CAIT","TLS","Timor-Leste","Mitigation","",NA,NA,"m_industries","Industries","HFCs"
23216002,"CAIT","TLS","Timor-Leste","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216187,"CAIT","TLS","Timor-Leste","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216422,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216564,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216758,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216900,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217093,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217235,"CAIT","TLS","Timor-Leste","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23219844,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23220030,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23220189,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified"
23220229,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified"
23221383,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221570,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221847,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""Consistent with methodologies used in Timor-Leste's initial National Communication (INC) that used the 1996 Intergovernmental Panel on Climate Change (IPCC) Guidelines for Green House Gas (GHG) Inventory.""</p>"
23222034,"CAIT","TLS","Timor-Leste","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""Consistent with methodologies used in Timor-Leste's initial National Communication (INC) that used the 1996 Intergovernmental Panel on Climate Change (IPCC) Guidelines for Green House Gas (GHG) Inventory.""</p>"
23222311,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% of national emission in 2015"
23222497,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","100% of national emission in 2015"
23222776,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Agriculture, energy, land-use change and forestry, waste"
23222963,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Agriculture, energy, land-use change and forestry, waste"
23223242,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","CO<sub>2</sub>, CH<sub>4</sub> and N<sub>2</sub>O"
23223428,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","CO<sub>2</sub>, CH<sub>4</sub> and N<sub>2</sub>O"
23223690,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2, CH4, N2O"
23223874,"CAIT","TLS","Timor-Leste","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2, CH4, N2O"
23224738,"CAIT","TLS","Timor-Leste","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Not Applicable"
23224984,"CAIT","TLS","Timor-Leste","Overview","NDC Enhancement",NA,NA,"ndce_source","Source Link","<a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>"
23225143,"CAIT","TLS","Timor-Leste","Overview","NDC Enhancement",NA,NA,"ndce_date","Statement Date","9/23/2019"
23225302,"CAIT","TLS","Timor-Leste","Overview","NDC Enhancement",NA,NA,"ndce_statement","Statement","Per Climate Ambition Alliance statement from Chilean Presidency"
23225461,"CAIT","TLS","Timor-Leste","Overview","NDC Enhancement",NA,NA,"ndce_status_2020","NDC Status","Intends to Enhance Ambition or Action in 2020 NDC"
23225651,"CAIT","TLS","Timor-Leste","Overview","NDC Enhancement",NA,NA,"ndce_ghg","Share of Global GHG Emissions","0.01%"
23225845,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","<p>""Timor-Leste is a LDC and SIDS with negligible levels of emission but is extremely vulnerable to climate change impacts. Hence the decision to focus on adaptation to deal with the current and future climate induced impacts.""</p>"
23226029,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","<p>""Timor-Leste is a LDC and SIDS with negligible levels of emission but is extremely vulnerable to climate change impacts. Hence the decision to focus on adaptation to deal with the current and future climate induced impacts.""</p>"
23226301,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","<p>""Timor-Leste's emission are less than 0.003% of global emissions, one of the lowest from any parties, negligible in the global context. It is also highly vulnerable to climate change. Despite being a Least Developed Country, Timor-Leste has carried out various efforts to increase its climate resilience.""</p>"
23226487,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","<p>""Timor-Leste's emission are less than 0.003% of global emissions, one of the lowest from any parties, negligible in the global context. It is also highly vulnerable to climate change. Despite being a Least Developed Country, Timor-Leste has carried out various efforts to increase its climate resilience.""</p>"
23226760,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"fairness","Description of fairness","<p>""Timor-Leste's emission are less than 0.003% of global emissions, one of the lowest from any parties, negligible in the global context. It is also highly vulnerable to climate change. Despite being a Least Developed Country, Timor-Leste has carried out various efforts to increase its climate resilience.""</p>"
23226946,"CAIT","TLS","Timor-Leste","Overview","Fairness and Ambition",NA,NA,"fairness","Description of fairness","<p>""Timor-Leste's emission are less than 0.003% of global emissions, one of the lowest from any parties, negligible in the global context. It is also highly vulnerable to climate change. Despite being a Least Developed Country, Timor-Leste has carried out various efforts to increase its climate resilience.""</p>"
23227222,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"indc_submission","INDC Submission","INDC Submitted"
23227418,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"submission_date","Latest submission date","8/16/2017"
23227615,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"submission","Latest submission","Only First NDC"
23227812,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"pa_status","Status of ratification","Joined Agreement"
23228007,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"pa_sign_date","Date of signature","4/22/2016"
23228204,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"pa_sign","Signed","Yes"
23228396,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"pa_ratified_date","Date of ratification","8/16/2017"
23228591,"CAIT","TLS","Timor-Leste","Overview","UNFCCC Process",NA,NA,"pa_ratified","Ratified","Yes"
23228786,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ctu","Provided additional Information for clarity, transparency, and understanding","No previous submission available"
23228973,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ctu","Provided additional Information for clarity, transparency, and understanding","No revision compared with previous version"
23229254,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_adp","Strengthened adaptation","No previous submission available"
23229441,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_adp","Strengthened adaptation","No revision compared with previous version"
23229722,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_pa","Strengthened or added policies and actions","No previous submission available"
23229909,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_pa","Strengthened or added policies and actions","No revision compared with previous version"
23230190,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_sectoral","Strengthened or added sectoral target","No previous submission available"
23230377,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_sectoral","Strengthened or added sectoral target","No revision compared with previous version"
23230658,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ghgt","Strengthened or added GHG target","No previous submission available"
23230845,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ghgt","Strengthened or added GHG target","No revision compared with previous version"
23231126,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_revised","Revised from previous submission","No previous submission available"
23231313,"CAIT","TLS","Timor-Leste","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_revised","Revised from previous submission","No revision compared with previous version"
23231594,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"conditionality","Conditionality","Unconditional NDC only"
23231781,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"conditionality","Conditionality","Unconditional NDC only"
23232062,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"adaptation","Adaptation included","Yes"
23232249,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"adaptation","Adaptation included","Yes"
23232510,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"time_target_year","Target year (mitigation)","2025"
23232693,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"time_target_year","Target year (mitigation)","2025"
23233361,"CAIT","TLS","Timor-Leste","Mitigation, Overview","GHG Target, Overview of Commitment",NA,NA,"ghg_target_type","GHG target type","Not Applicable"
23233782,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"ghg_target","GHG target","Not Applicable"
23234061,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"mitigation_contribution_type","Mitigation contribution type","Actions only"
23234248,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"mitigation_contribution_type","Mitigation contribution type","Actions only"
23234528,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"indc_summary","NDC summary","<p>""Timor-Leste has made a conscious decision not to have a target for emission reduction but outline the commitments to reducing emissions through various activities in sectors like transport, agriculture, forestry and energy, this will require international climate finance and assistance to develop an economy-wide Green House Gas (GHG) Inventory.""</p><p>Timor-Leste's INDC also includes a section on adaptation.</p>"
23234715,"CAIT","TLS","Timor-Leste","Overview","Overview of Commitment",NA,NA,"indc_summary","NDC summary","<p>""Timor-Leste has made a conscious decision not to have a target for emission reduction but outline the commitments to reducing emissions through various activities in sectors like transport, agriculture, forestry and energy, this will require international climate finance and assistance to develop an economy-wide Green House Gas (GHG) Inventory.""</p><p>Timor-Leste's INDC also includes a section on adaptation.</p>"
23235006,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_Barr","Barriers identifed for NDC Implementation","N/A"
23235140,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_Barr","Barriers identifed for NDC Implementation","N/A"
23235220,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_DevPar","NDC Development Supported by Development Partner","Consultant: UNDP, GIZ, Camoes, USP, World Vision, Mercy Corps, CRS, Hivos, WaterAid, Oxfam, Care International"
23235264,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_DevPar","NDC Development Supported by Development Partner","Consultant: UNDP, GIZ, Camoes, USP, World Vision, Mercy Corps, CRS, Hivos, WaterAid, Oxfam, Care International"
23235411,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_DevBen","Assessment of Development Benefits in NDC","Yes"
23235545,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_DevBen","Assessment of Development Benefits in NDC","Yes"
23235702,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_CivSoc","Civil Society Engagement in NDC Planning (Yes/No)","N/A"
23235837,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_CivSoc","Civil Society Engagement in NDC Planning (Yes/No)","N/A"
23236003,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_MulComm","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes"
23236138,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_MulComm","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes"
23236305,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_PrivSec","Private Sector Engagement in NDC Planning (Yes/No)","Yes"
23236440,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_PrivSec","Private Sector Engagement in NDC Planning (Yes/No)","Yes"
23236602,"WB","TLS","Timor-Leste","Adaptation","Planning Process (Adaptation)",NA,NA,"A_Pl_TecGr","Technical Group Engagement in NDC Planning (Yes/No)","Yes"
