"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207631,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Infrastructure, Water Management, Water Supply"
23207817,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_water","Water","Water Efficiency, Water Infrastructure, Water Management, Water Supply"
23208012,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208198,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208393,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208579,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208774,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208960,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209155,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209341,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209536,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209722,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23209917,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210103,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210298,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210484,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210679,"CAIT","UGA","Uganda","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Buildings, Energy Access"
