"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207639,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207825,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_water","Water","Water Management"
23208020,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208206,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208401,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208587,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208782,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208968,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209163,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209349,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209544,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Land Management"
23209730,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Land Management"
23209925,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210111,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210306,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210492,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210687,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210873,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211068,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211254,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211449,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211635,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211830,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212016,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212211,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212396,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212591,"CAIT","VUT","Vanuatu","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Food Security, Livestock"
