"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207640,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207826,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23208021,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208207,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208402,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208588,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208783,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208969,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209164,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209350,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209545,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209731,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209926,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210112,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210307,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210493,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210688,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210874,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211069,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211255,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211450,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211636,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211831,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212017,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212212,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212397,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212592,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212776,"CAIT","WSM","Samoa","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212971,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213157,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213352,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213538,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213733,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213919,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214114,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214300,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214495,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214681,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214876,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Solar"
23215062,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_energy","Energy","Demand-Side Efficiency: Appliances, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Solar"
23215257,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215443,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215638,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215824,"CAIT","WSM","Samoa","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23216018,"CAIT","WSM","Samoa","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared using a targeted approach whereby key stakeholders from the energy and climate change sector were consulted to provide the necessary information for compiling the report. The short timeframe allocated for the development of Samoa&rsquo;s INDC did not allow for a comprehensive national consultation process. However a substantial amount of work has been done at the national level in the energy sector and has helped facilitate the formulation of Samoa's INDC.""</p>"
23216202,"CAIT","WSM","Samoa","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""This INDC was prepared using a targeted approach whereby key stakeholders from the energy and climate change sector were consulted to provide the necessary information for compiling the report. The short timeframe allocated for the development of Samoa&rsquo;s INDC did not allow for a comprehensive national consultation process. However a substantial amount of work has been done at the national level in the energy sector and has helped facilitate the formulation of Samoa's INDC.""</p>"
23216436,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216576,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216772,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216912,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217107,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217247,"CAIT","WSM","Samoa","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23219860,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220045,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220193,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified "
23220231,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified "
23221399,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221585,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221863,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23222049,"CAIT","WSM","Samoa","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23222327,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","<p>The electricity sub sector accounted for ~13% of total GHG emissions in 2014 assuming business as usual scenario in all sectors since 2007. (IPCC 2006 Guidelines)</p>"
23222512,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","<p>The electricity sub sector accounted for ~13% of total GHG emissions in 2014 assuming business as usual scenario in all sectors since 2007. (IPCC 2006 Guidelines)</p>"
23222792,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Energy "
23222978,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Energy "
23223258,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","<p>CO<sub>2</sub></p>"
23223443,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","<p>CO<sub>2</sub></p>"
23223704,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2"
23223889,"CAIT","WSM","Samoa","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","CO2"
23224156,"CAIT","WSM","Samoa","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224326,"CAIT","WSM","Samoa","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224751,"CAIT","WSM","Samoa","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Not Applicable"
23224963,"CAIT","WSM","Samoa","Overview","NDC Enhancement",NA,NA,"ndce_source","Source Link","<a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>"
23225122,"CAIT","WSM","Samoa","Overview","NDC Enhancement",NA,NA,"ndce_date","Statement Date","9/23/2019"
23225281,"CAIT","WSM","Samoa","Overview","NDC Enhancement",NA,NA,"ndce_statement","Statement","Per Climate Ambition Alliance statement from Chilean Presidency"
23225440,"CAIT","WSM","Samoa","Overview","NDC Enhancement",NA,NA,"ndce_status_2020","NDC Status","Intends to Enhance Ambition or Action in 2020 NDC"
23225626,"CAIT","WSM","Samoa","Overview","NDC Enhancement",NA,NA,"ndce_ghg","Share of Global GHG Emissions","0.00%"
23225861,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","Not Specified "
23226044,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","Not Specified "
23226317,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","Please refer to the Description of fairness for a combined description of fairness and ambition."
23226502,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","Please refer to the Description of fairness for a combined description of fairness and ambition."
23226776,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"fairness","Description of fairness","<p>Samoa communicated the following information describing how its INDC is fair and ambitious.</p><p>""Samoa's Second National Communication and GHG Inventory highlighted the insignificantly low contribution of its emissions to the global aggregate. However, Samoa recognizes the potential for reduction of its emissions to not only support global efforts and demonstrate its willingness to address climate change issues but also to support the government's development vision of improved quality of life for all. As a small island developing state in the Pacific, Samoa faces the immense challenge of dealing with the adverse effects of climate change. This is made even more difficult by the fact that it has limited financial, technical and human resources.</p> <p>In setting itself a target of generating electricity from 100% renewable sources, Samoa has set a highly ambitious and fair target to demonstrate its commitment to reducing its emissions.""</p>"
23226961,"CAIT","WSM","Samoa","Overview","Fairness and Ambition",NA,NA,"fairness","Description of fairness","<p>Samoa communicated the following information describing how its INDC is fair and ambitious.</p><p>""Samoa's Second National Communication and GHG Inventory highlighted the insignificantly low contribution of its emissions to the global aggregate. However, Samoa recognizes the potential for reduction of its emissions to not only support global efforts and demonstrate its willingness to address climate change issues but also to support the government's development vision of improved quality of life for all. As a small island developing state in the Pacific, Samoa faces the immense challenge of dealing with the adverse effects of climate change. This is made even more difficult by the fact that it has limited financial, technical and human resources.</p> <p>In setting itself a target of generating electricity from 100% renewable sources, Samoa has set a highly ambitious and fair target to demonstrate its commitment to reducing its emissions.""</p>"
23227196,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"indc_submission","INDC Submission","INDC Submitted"
23227392,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"submission_date","Latest submission date","4/22/2016"
23227589,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"submission","Latest submission","Only First NDC"
23227786,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"pa_status","Status of ratification","Joined Agreement"
23227982,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"pa_sign_date","Date of signature","4/22/2016"
23228178,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"pa_sign","Signed","Yes"
23228370,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"pa_ratified_date","Date of ratification","4/22/2016"
23228565,"CAIT","WSM","Samoa","Overview","UNFCCC Process",NA,NA,"pa_ratified","Ratified","Yes"
23228802,"CAIT","WSM","Samoa","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ctu","Provided additional Information for clarity, transparency, and understanding","No previous submission available"
23228988,"CAIT","WSM","Samoa","Overview","Overall Comparison with Previous NDC",NA,NA,"ndce_ctu","Provided additional Information for clarity, transparency, and understanding","No revision compared with previous version"
